"areacd","value"
"K02000001",59950364
"K03000001",58236322
"E06000001",90317
"E06000002",138451
"E06000003",138643
"E06000004",185687
"E06000005",99343
"E06000047",495147
"E06000057",310140
"E08000021",266884
"E08000022",193195
"E08000023",150265
"E08000024",280113
"E08000037",192317
"E06000006",119960
"E06000007",191837
"E06000008",141418
"E06000009",143143
"E06000049",357354
"E06000050",325496
"E06000063",269008
"E06000064",225910
"E07000117",87923
"E07000118",102778
"E07000119",74667
"E07000120",81280
"E07000121",135472
"E07000122",88330
"E07000123",134410
"E07000124",56054
"E07000125",65623
"E07000126",105578
"E07000127",109588
"E07000128",107760
"E08000001",264511
"E08000002",180999
"E08000003",444925
"E08000004",218988
"E08000005",207286
"E08000006",217921
"E08000007",282368
"E08000008",213667
"E08000009",214129
"E08000010",304958
"E08000011",149216
"E08000012",448091
"E08000013",175738
"E08000014",278853
"E08000015",315130
"E06000010",253049
"E06000011",325117
"E06000012",158542
"E06000013",158211
"E06000014",186643
"E06000065",579959
"E08000016",221227
"E08000017",290850
"E08000018",251722
"E08000019",519640
"E08000032",484650
"E08000033",194980
"E08000034",397530
"E08000035",723042
"E08000036",318037
"E06000015",234501
"E06000016",294127
"E06000017",35623
"E06000018",279624
"E06000061",293506
"E06000062",353110
"E07000032",118421
"E07000033",73601
"E07000034",100545
"E07000035",69536
"E07000036",110068
"E07000037",89261
"E07000038",97532
"E07000039",86506
"E07000129",91664
"E07000130",154740
"E07000131",79860
"E07000132",101953
"E07000133",48618
"E07000134",88845
"E07000135",56454
"E07000136",58090
"E07000137",134889
"E07000138",87746
"E07000139",99943
"E07000140",80832
"E07000141",127129
"E07000142",83786
"E07000170",114105
"E07000171",110017
"E07000172",108085
"E07000173",111847
"E07000174",99706
"E07000175",109776
"E07000176",107430
"E06000019",176033
"E06000020",160603
"E06000021",241078
"E06000051",288810
"E07000192",94179
"E07000193",106800
"E07000194",95580
"E07000195",123076
"E07000196",106300
"E07000197",123224
"E07000198",94980
"E07000199",74424
"E07000218",61769
"E07000219",120668
"E07000220",89998
"E07000221",113483
"E07000222",132719
"E07000234",90516
"E07000235",73166
"E07000236",79654
"E07000237",93843
"E07000238",114258
"E07000239",97223
"E08000025",1002376
"E08000026",298174
"E08000027",306171
"E08000028",288849
"E08000029",201153
"E08000030",256702
"E08000031",240567
"E06000031",163485
"E06000032",183563
"E06000033",161488
"E06000034",147056
"E06000055",151308
"E06000056",240444
"E07000008",112167
"E07000009",75996
"E07000010",87983
"E07000011",162654
"E07000012",135645
"E07000066",167825
"E07000067",137426
"E07000068",69895
"E07000069",87207
"E07000070",162505
"E07000071",158652
"E07000072",121495
"E07000073",78019
"E07000074",60303
"E07000075",80100
"E07000076",140340
"E07000077",70865
"E07000095",87805
"E07000096",138403
"E07000098",93788
"E07000099",120092
"E07000102",83963
"E07000103",81097
"E07000143",123944
"E07000144",121039
"E07000145",93316
"E07000146",139621
"E07000147",99374
"E07000148",123857
"E07000149",114539
"E07000200",85622
"E07000202",121175
"E07000203",89492
"E07000240",131284
"E07000241",100470
"E07000242",130456
"E07000243",80008
"E07000244",233329
"E07000245",159469
"E09000001",7118
"E09000002",165610
"E09000003",323723
"E09000004",220917
"E09000005",268335
"E09000006",297307
"E09000007",207341
"E09000008",337134
"E09000009",310073
"E09000010",282217
"E09000011",227190
"E09000012",213581
"E09000013",172083
"E09000014",226472
"E09000015",216267
"E09000016",225769
"E09000017",248691
"E09000018",219440
"E09000019",180831
"E09000020",165752
"E09000021",151055
"E09000022",274262
"E09000023",252455
"E09000024",188908
"E09000025",254434
"E09000026",248774
"E09000027",179312
"E09000028",257257
"E09000029",181094
"E09000030",211154
"E09000031",225002
"E09000032",278615
"E09000033",214557
"E06000035",251459
"E06000036",109189
"E06000037",145147
"E06000038",144590
"E06000039",120833
"E06000040",135066
"E06000041",149008
"E06000042",219521
"E06000043",249847
"E06000044",193483
"E06000045",223589
"E06000046",135891
"E06000060",482126
"E07000061",93772
"E07000062",86854
"E07000063",93794
"E07000064",87183
"E07000065",143404
"E07000084",155737
"E07000085",109960
"E07000086",117066
"E07000087",108473
"E07000088",78099
"E07000089",86367
"E07000090",117362
"E07000091",171769
"E07000092",89358
"E07000093",112049
"E07000094",109179
"E07000105",107264
"E07000106",140578
"E07000107",88277
"E07000108",106878
"E07000109",95907
"E07000110",142242
"E07000111",110045
"E07000112",99949
"E07000113",125890
"E07000114",128782
"E07000115",110441
"E07000116",105131
"E07000177",134947
"E07000178",141593
"E07000179",129359
"E07000180",116475
"E07000181",98038
"E07000207",125677
"E07000208",68386
"E07000209",128575
"E07000210",81498
"E07000211",127222
"E07000212",76948
"E07000213",90127
"E07000214",81631
"E07000215",79050
"E07000216",116230
"E07000217",89798
"E07000223",59961
"E07000224",145149
"E07000225",108157
"E07000226",98887
"E07000227",124920
"E07000228",129461
"E07000229",99452
"E06000022",170585
"E06000023",395743
"E06000024",192776
"E06000025",251226
"E06000026",244037
"E06000027",131937
"E06000030",186390
"E06000052",511810
"E06000053",2210
"E06000054",445632
"E06000058",348506
"E06000059",355305
"E07000040",128444
"E07000041",110697
"E07000042",72607
"E07000043",90433
"E07000044",82085
"E07000045",122964
"E07000046",61479
"E07000047",50118
"E07000078",109763
"E07000079",81795
"E07000080",81091
"E07000081",112583
"E07000082",109477
"E07000083",77932
"E06000066",510659
"W06000001",68753
"W06000002",118721
"W06000003",112272
"W06000004",94010
"W06000005",149681
"W06000006",129005
"W06000008",75775
"W06000009",116428
"W06000010",177487
"W06000011",228176
"W06000012",137144
"W06000013",131947
"W06000014",122101
"W06000015",317099
"W06000016",233971
"W06000018",172361
"W06000019",69242
"W06000020",90516
"W06000021",87829
"W06000022",139316
"W06000023",129568
"W06000024",56020
"S12000005",48680
"S12000006",148700
"S12000008",120210
"S12000010",92170
"S12000011",89790
"S12000013",26650
"S12000014",148300
"S12000017",214560
"S12000018",82690
"S12000019",80230
"S12000020",89380
"S12000021",136500
"S12000023",19830
"S12000026",109450
"S12000027",22090
"S12000028",111840
"S12000029",305660
"S12000030",86920
"S12000033",207820
"S12000034",234690
"S12000035",90580
"S12000036",445870
"S12000038",171470
"S12000039",91960
"S12000040",163540
"S12000041",110170
"S12000042",143100
"S12000045",106540
"S12000047",353050
"S12000048",136900
"S12000049",569560
"S12000050",325400
"N09000001",131067
"N09000002",180828
"N09000003",326268
"N09000004",135209
"N09000005",145041
"N09000006",107923
"N09000007",125764
"N09000008",129925
"N09000009",122645
"N09000010",158460
"N09000011",150912
