"areacd","value"
"E09000014",218559
"E09000015",207909
"E09000016",225712
"E09000017",245053
"E09000018",214298
"E09000019",175717
"E09000020",147678
"E09000021",146003
"E09000022",266817
"E09000023",250310
"E09000024",185062
"E09000025",240517
"E09000026",238138
"E09000027",172782
"E09000028",247853
"E09000029",179375
"E09000030",193507
"E09000031",221057
"E09000032",264220
"E09000033",189233
"E06000035",246383
"E06000036",109819
"E06000037",144129
"E06000038",143512
"E06000039",118497
"E06000040",132917
"E06000041",147912
"E06000042",206664
"E06000043",248008
"E06000044",187768
"E06000045",216057
"E06000046",129997
"E06000060",475883
"E07000061",88733
"E07000062",84089
"E07000063",90848
"E07000064",86299
"E07000065",139412
"E07000084",151213
"E07000085",108635
"E07000086",114469
"E07000087",106165
"E07000088",76356
"E07000089",82988
"E07000090",117279
"E07000091",169200
"E07000092",90496
"E07000093",108711
"E07000094",107307
"E07000105",100072
"E07000106",133662
"E07000107",85045
"E07000108",104006
"E07000109",94575
"E07000110",137941
"E07000111",109646
"E07000112",95811
"E07000113",120079
"E07000114",126476
"E07000115",106376
"E07000116",103031
"E07000177",130001
"E07000178",136507
"E07000179",127886
"E07000180",113842
"E07000181",95564
"E07000207",122062
"E07000208",67278
"E07000209",128527
"E07000210",80253
"E07000211",124981
"E07000212",77069
"E07000213",90606
"E07000214",81356
"E07000215",78530
"E07000216",115491
"E07000217",89579
"E07000223",58841
"E07000224",139442
"E07000225",105957
"E07000226",99351
"E07000227",120876
"E07000228",127205
"E07000229",97454
"E06000022",167061
"E06000023",390985
"E06000024",186745
"E06000025",241635
"E06000026",241977
"E06000027",126311
"E06000030",179329
"E06000052",490563
"E06000053",2025
"E06000054",425242
"E06000058",344425
"E06000059",340914
"E07000040",123511
"E07000041",109684
"E07000042",67818
"E07000043",86370
"E07000044",81367
"E07000045",119087
"E07000046",56747
"E07000047",47711
"E07000078",108594
"E07000079",80626
"E07000080",79337
"E07000081",109483
"E07000082",107691
"E07000083",75290
"E06000066",490430
"W06000001",67978
"W06000002",116362
"W06000003",108322
"W06000004",91509
"W06000005",146824
"W06000006",126907
"W06000008",74046
"W06000009",111667
"W06000010",172329
"W06000011",225080
"W06000012",135356
"W06000013",128585
"W06000014",117944
"W06000015",310320
"W06000016",233904
"W06000018",168566
"W06000019",71028
"W06000020",91129
"W06000021",83980
"W06000022",136615
"W06000023",125632
"W06000024",56516
"S12000005",48240
"S12000006",148230
"S12000008",120550
"S12000010",89110
"S12000011",88520
"S12000013",27210
"S12000014",144570
"S12000017",209200
"S12000018",85300
"S12000019",80630
"S12000020",86800
"S12000021",137160
"S12000023",19420
"S12000026",105810
"S12000027",22510
"S12000028",112850
"S12000029",302580
"S12000030",85450
"S12000033",214630
"S12000034",227240
"S12000035",91640
"S12000036",447190
"S12000038",174390
"S12000039",94420
"S12000040",154760
"S12000041",109560
"S12000042",147970
"S12000045",108670
"S12000047",347030
"S12000048",135200
"S12000049",582950
"S12000050",322160
"N09000001",
"N09000002",
"N09000003",
"N09000004",
"N09000005",
"N09000006",
"N09000007",
"N09000008",
"N09000009",
"N09000010",
"N09000011",
