"areacd","value"
"K02000001",58684427
"K03000001",57005421
"E06000001",89680
"E06000002",143023
"E06000003",139542
"E06000004",180844
"E06000005",98172
"E06000047",496096
"E06000057",307490
"E08000021",270975
"E08000022",190062
"E08000023",153627
"E08000024",287527
"E08000037",193276
"E06000006",119552
"E06000007",190320
"E06000008",138233
"E06000009",142995
"E06000049",350932
"E06000050",319598
"E06000063",265127
"E06000064",223018
"E07000117",90292
"E07000118",98822
"E07000119",72656
"E07000120",80839
"E07000121",134596
"E07000122",87824
"E07000123",131597
"E07000124",53132
"E07000125",65340
"E07000126",103169
"E07000127",107861
"E07000128",103502
"E08000001",260396
"E08000002",181020
"E08000003",416438
"E08000004",218420
"E08000005",204865
"E08000006",220018
"E08000007",285824
"E08000008",213567
"E08000009",212951
"E08000010",301989
"E08000011",151837
"E08000012",448417
"E08000013",176795
"E08000014",284162
"E08000015",317011
"E06000010",255872
"E06000011",309144
"E06000012",157988
"E06000013",151962
"E06000014",177145
"E06000065",562012
"E08000016",218692
"E08000017",286949
"E08000018",247949
"E08000019",516334
"E08000032",466933
"E08000033",191238
"E08000034",385290
"E08000035",714879
"E08000036",313938
"E06000015",231252
"E06000016",285940
"E06000017",33537
"E06000018",273537
"E06000061",278511
"E06000062",342215
"E07000032",115524
"E07000033",70697
"E07000034",98858
"E07000035",69679
"E07000036",108422
"E07000037",88129
"E07000038",97100
"E07000039",79703
"E07000129",88378
"E07000130",153008
"E07000131",73941
"E07000132",99761
"E07000133",47047
"E07000134",84227
"E07000135",55203
"E07000136",54889
"E07000137",126918
"E07000138",84662
"E07000139",90116
"E07000140",74377
"E07000141",123622
"E07000142",78125
"E07000170",109697
"E07000171",106387
"E07000172",108276
"E07000173",111926
"E07000174",99437
"E07000175",105291
"E07000176",104051
"E06000019",171997
"E06000020",153730
"E06000021",244130
"E06000051",279294
"E07000192",91624
"E07000193",102068
"E07000194",93490
"E07000195",122203
"E07000196",105183
"E07000197",121621
"E07000198",93468
"E07000199",74003
"E07000218",61810
"E07000219",118454
"E07000220",86155
"E07000221",110152
"E07000222",122994
"E07000234",86692
"E07000235",72062
"E07000236",78278
"E07000237",92474
"E07000238",110921
"E07000239",96952
"E08000025",989712
"E08000026",304840
"E08000027",304878
"E08000028",286085
"E08000029",200190
"E08000030",255808
"E08000031",240691
"E06000031",156520
"E06000032",184990
"E06000033",162915
"E06000034",139469
"E06000055",143765
"E06000056",230636
"E07000008",109870
"E07000009",71243
"E07000010",82310
"E07000011",155570
"E07000012",128589
"E07000066",164185
"E07000067",128993
"E07000068",68702
"E07000069",86069
"E07000070",155894
"E07000071",154717
"E07000072",120181
"E07000073",77555
"E07000074",57457
"E07000075",77395
"E07000076",135669
"E07000077",68226
"E07000095",84765
"E07000096",137013
"E07000098",93576
"E07000099",115284
"E07000102",82743
"E07000103",79971
"E07000143",118526
"E07000144",116766
"E07000145",90008
"E07000146",133698
"E07000147",97705
"E07000148",121199
"E07000149",108552
"E07000200",82058
"E07000202",116276
"E07000203",85083
"E07000240",128129
"E07000241",96838
"E07000242",127164
"E07000243",78523
"E07000244",225138
"E07000245",158787
"E09000001",6581
"E09000002",162444
"E09000003",313469
"E09000004",217458
"E09000005",260317
"E09000006",294902
"E09000007",190003
"E09000008",332066
"E09000009",302252
"E09000010",272731
"E09000011",212168
"E09000012",199087
"E09000013",160634
