"areacd","category","value"
"K02000001","Aged 0 to 15",12003625
"K02000001","Aged 16 to 64",36704336
"K02000001","Aged 65+",9154184
"K03000001","Aged 0 to 15",11585726
"K03000001","Aged 16 to 64",35691834
"K03000001","Aged 65+",8940878
"E06000001","Aged 0 to 15",20499
"E06000001","Aged 16 to 64",56931
"E06000001","Aged 65+",13597
"E06000002","Aged 0 to 15",34449
"E06000002","Aged 16 to 64",91253
"E06000002","Aged 65+",19916
"E06000003","Aged 0 to 15",31613
"E06000003","Aged 16 to 64",89994
"E06000003","Aged 65+",21862
"E06000004","Aged 0 to 15",40968
"E06000004","Aged 16 to 64",112569
"E06000004","Aged 65+",23726
"E06000005","Aged 0 to 15",20813
"E06000005","Aged 16 to 64",61888
"E06000005","Aged 65+",16722
"E06000047","Aged 0 to 15",101970
"E06000047","Aged 16 to 64",319375
"E06000047","Aged 65+",79579
"E06000057","Aged 0 to 15",61196
"E06000057","Aged 16 to 64",193531
"E06000057","Aged 65+",51818
"E08000021","Aged 0 to 15",55098
"E08000021","Aged 16 to 64",181160
"E08000021","Aged 65+",44900
"E08000022","Aged 0 to 15",38567
"E08000022","Aged 16 to 64",119380
"E08000022","Aged 65+",34299
"E08000023","Aged 0 to 15",33025
"E08000023","Aged 16 to 64",96036
"E08000023","Aged 65+",27003
"E08000024","Aged 0 to 15",64246
"E08000024","Aged 16 to 64",188216
"E08000024","Aged 65+",42833
"E08000037","Aged 0 to 15",39487
"E08000037","Aged 16 to 64",127008
"E08000037","Aged 65+",33134
"E06000006","Aged 0 to 15",29420
"E06000006","Aged 16 to 64",77742
"E06000006","Aged 65+",15626
"E06000007","Aged 0 to 15",39920
"E06000007","Aged 16 to 64",120360
"E06000007","Aged 65+",25811
"E06000008","Aged 0 to 15",35115
"E06000008","Aged 16 to 64",84919
"E06000008","Aged 65+",19481
"E06000009","Aged 0 to 15",27234
"E06000009","Aged 16 to 64",92995
"E06000009","Aged 65+",30492
"E06000049","Aged 0 to 15",68607
"E06000049","Aged 16 to 64",221859
"E06000049","Aged 65+",55687
"E06000050","Aged 0 to 15",65540
"E06000050","Aged 16 to 64",203045
"E06000050","Aged 65+",49223
"E06000063","Aged 0 to 15",53948
"E06000063","Aged 16 to 64",169394
"E06000063","Aged 65+",45008
"E06000064","Aged 0 to 15",41372
"E06000064","Aged 16 to 64",136550
"E06000064","Aged 65+",40730
"E07000117","Aged 0 to 15",21342
"E07000117","Aged 16 to 64",55184
"E07000117","Aged 65+",14035
"E07000118","Aged 0 to 15",20540
"E07000118","Aged 16 to 64",63214
"E07000118","Aged 65+",13417
"E07000119","Aged 0 to 15",12483
"E07000119","Aged 16 to 64",43655
"E07000119","Aged 65+",16634
"E07000120","Aged 0 to 15",18169
"E07000120","Aged 16 to 64",49073
"E07000120","Aged 65+",12628
"E07000121","Aged 0 to 15",25794
"E07000121","Aged 16 to 64",82983
"E07000121","Aged 65+",24559
"E07000122","Aged 0 to 15",20142
"E07000122","Aged 16 to 64",53269
"E07000122","Aged 65+",13890
"E07000123","Aged 0 to 15",28949
"E07000123","Aged 16 to 64",82632
"E07000123","Aged 65+",19321
"E07000124","Aged 0 to 15",9888
"E07000124","Aged 16 to 64",32608
"E07000124","Aged 65+",8744
"E07000125","Aged 0 to 15",14667
"E07000125","Aged 16 to 64",41391
"E07000125","Aged 65+",9711
"E07000126","Aged 0 to 15",21924
"E07000126","Aged 16 to 64",66081
"E07000126","Aged 65+",14905
"E07000127","Aged 0 to 15",23474
"E07000127","Aged 16 to 64",70045
"E07000127","Aged 65+",15510
"E07000128","Aged 0 to 15",19251
"E07000128","Aged 16 to 64",60854
"E07000128","Aged 65+",22711
"E08000001","Aged 0 to 15",57729
"E08000001","Aged 16 to 64",164162
"E08000001","Aged 65+",39602
"E08000002","Aged 0 to 15",38730
"E08000002","Aged 16 to 64",115054
"E08000002","Aged 65+",26611
"E08000003","Aged 0 to 15",97224
"E08000003","Aged 16 to 64",266229
"E08000003","Aged 65+",61861
"E08000004","Aged 0 to 15",50971
"E08000004","Aged 16 to 64",136485
"E08000004","Aged 65+",31960
"E08000005","Aged 0 to 15",48497
"E08000005","Aged 16 to 64",127333
"E08000005","Aged 65+",29426
"E08000006","Aged 0 to 15",48314
"E08000006","Aged 16 to 64",142007
"E08000006","Aged 65+",37299
"E08000007","Aged 0 to 15",59158
"E08000007","Aged 16 to 64",182634
"E08000007","Aged 65+",45964
"E08000008","Aged 0 to 15",47915
"E08000008","Aged 16 to 64",137196
"E08000008","Aged 65+",33130
"E08000009","Aged 0 to 15",45017
"E08000009","Aged 16 to 64",135863
"E08000009","Aged 65+",34291
"E08000010","Aged 0 to 15",64969
"E08000010","Aged 16 to 64",196999
"E08000010","Aged 65+",43026
"E08000011","Aged 0 to 15",37677
"E08000011","Aged 16 to 64",94911
"E08000011","Aged 65+",20131
"E08000012","Aged 0 to 15",101200
"E08000012","Aged 16 to 64",295154
"E08000012","Aged 65+",71738
"E08000013","Aged 0 to 15",37521
"E08000013","Aged 16 to 64",114936
"E08000013","Aged 65+",26860
"E08000014","Aged 0 to 15",59856
"E08000014","Aged 16 to 64",177900
"E08000014","Aged 65+",52710
"E08000015","Aged 0 to 15",70836
"E08000015","Aged 16 to 64",200272
"E08000015","Aged 65+",57791
"E06000010","Aged 0 to 15",58612
"E06000010","Aged 16 to 64",168145
"E06000010","Aged 65+",39675
"E06000011","Aged 0 to 15",58453
"E06000011","Aged 16 to 64",190910
"E06000011","Aged 65+",52985
"E06000012","Aged 0 to 15",36310
"E06000012","Aged 16 to 64",99834
"E06000012","Aged 65+",25234
"E06000013","Aged 0 to 15",32237
"E06000013","Aged 16 to 64",96394
"E06000013","Aged 65+",24222
"E06000014","Aged 0 to 15",32463
"E06000014","Aged 16 to 64",111206
"E06000014","Aged 65+",29004
"E06000065","Aged 0 to 15",106390
"E06000065","Aged 16 to 64",342377
"E06000065","Aged 65+",98986
"E08000016","Aged 0 to 15",45982
"E08000016","Aged 16 to 64",140539
"E08000016","Aged 65+",35253
"E08000017","Aged 0 to 15",63308
"E08000017","Aged 16 to 64",182098
"E08000017","Aged 65+",45080
"E08000018","Aged 0 to 15",54627
"E08000018","Aged 16 to 64",160699
"E08000018","Aged 65+",37620
"E08000019","Aged 0 to 15",99335
"E08000019","Aged 16 to 64",329836
"E08000019","Aged 65+",89461
"E08000032","Aged 0 to 15",113465
"E08000032","Aged 16 to 64",289359
"E08000032","Aged 65+",68514
"E08000033","Aged 0 to 15",41378
"E08000033","Aged 16 to 64",120126
"E08000033","Aged 65+",30789
"E08000034","Aged 0 to 15",83641
"E08000034","Aged 16 to 64",242052
"E08000034","Aged 65+",56990
"E08000035","Aged 0 to 15",146537
"E08000035","Aged 16 to 64",455499
"E08000035","Aged 65+",110867
"E08000036","Aged 0 to 15",66657
"E08000036","Aged 16 to 64",200292
"E08000036","Aged 65+",46646
"E06000015","Aged 0 to 15",49076
"E06000015","Aged 16 to 64",141435
"E06000015","Aged 65+",36037
"E06000016","Aged 0 to 15",67189
"E06000016","Aged 16 to 64",180748
"E06000016","Aged 65+",41567
"E06000017","Aged 0 to 15",6364
"E06000017","Aged 16 to 64",20874
"E06000017","Aged 65+",4971
"E06000018","Aged 0 to 15",59272
"E06000018","Aged 16 to 64",175737
"E06000018","Aged 65+",42206
"E06000061","Aged 0 to 15",58323
"E06000061","Aged 16 to 64",170864
"E06000061","Aged 65+",40390
"E06000062","Aged 0 to 15",71288
"E06000062","Aged 16 to 64",207333
"E06000062","Aged 65+",45128
"E07000032","Aged 0 to 15",21352
"E07000032","Aged 16 to 64",72428
"E07000032","Aged 65+",19262
"E07000033","Aged 0 to 15",13938
"E07000033","Aged 16 to 64",44245
"E07000033","Aged 65+",12129
"E07000034","Aged 0 to 15",19533
"E07000034","Aged 16 to 64",63136
"E07000034","Aged 65+",17614
"E07000035","Aged 0 to 15",12442
"E07000035","Aged 16 to 64",42930
"E07000035","Aged 65+",12581
"E07000036","Aged 0 to 15",22072
"E07000036","Aged 16 to 64",67970
"E07000036","Aged 65+",16729
"E07000037","Aged 0 to 15",18393
"E07000037","Aged 16 to 64",55176
"E07000037","Aged 65+",12966
"E07000038","Aged 0 to 15",18954
"E07000038","Aged 16 to 64",63032
"E07000038","Aged 65+",16086
"E07000039","Aged 0 to 15",15283
"E07000039","Aged 16 to 64",48200
"E07000039","Aged 65+",10952
"E07000129","Aged 0 to 15",17495
"E07000129","Aged 16 to 64",56034
"E07000129","Aged 65+",11762
"E07000130","Aged 0 to 15",30162
"E07000130","Aged 16 to 64",98801
"E07000130","Aged 65+",21685
"E07000131","Aged 0 to 15",14405
"E07000131","Aged 16 to 64",45161
"E07000131","Aged 65+",10398
"E07000132","Aged 0 to 15",19816
"E07000132","Aged 16 to 64",63339
"E07000132","Aged 65+",14814
"E07000133","Aged 0 to 15",9445
"E07000133","Aged 16 to 64",29763
"E07000133","Aged 65+",7128
"E07000134","Aged 0 to 15",16701
"E07000134","Aged 16 to 64",52563
"E07000134","Aged 65+",13077
