"areacd","category","value"
"E06000012","Aged 16 to 64",100764
"E06000012","Aged 65+",27639
"E06000013","Aged 0 to 15",31039
"E06000013","Aged 16 to 64",105559
"E06000013","Aged 65+",28974
"E06000014","Aged 0 to 15",31043
"E06000014","Aged 16 to 64",128726
"E06000014","Aged 65+",32629
"E06000065","Aged 0 to 15",103790
"E06000065","Aged 16 to 64",374166
"E06000065","Aged 65+",118440
"E08000016","Aged 0 to 15",42952
"E08000016","Aged 16 to 64",147573
"E08000016","Aged 65+",38448
"E08000017","Aged 0 to 15",57277
"E08000017","Aged 16 to 64",193062
"E08000017","Aged 65+",49845
"E08000018","Aged 0 to 15",49638
"E08000018","Aged 16 to 64",163629
"E08000018","Aged 65+",43046
"E08000019","Aged 0 to 15",98242
"E08000019","Aged 16 to 64",355588
"E08000019","Aged 65+",84555
"E08000032","Aged 0 to 15",119759
"E08000032","Aged 16 to 64",324012
"E08000032","Aged 65+",68621
"E08000033","Aged 0 to 15",40097
"E08000033","Aged 16 to 64",130439
"E08000033","Aged 65+",31542
"E08000034","Aged 0 to 15",85080
"E08000034","Aged 16 to 64",268067
"E08000034","Aged 65+",61638
"E08000035","Aged 0 to 15",134962
"E08000035","Aged 16 to 64",500178
"E08000035","Aged 65+",108745
"E08000036","Aged 0 to 15",60339
"E08000036","Aged 16 to 64",210951
"E08000036","Aged 65+",53177
"E06000015","Aged 0 to 15",49434
"E06000015","Aged 16 to 64",157309
"E06000015","Aged 65+",37237
"E06000016","Aged 0 to 15",67549
"E06000016","Aged 16 to 64",215358
"E06000016","Aged 65+",36801
"E06000017","Aged 0 to 15",6738
"E06000017","Aged 16 to 64",23224
"E06000017","Aged 65+",7455
"E06000018","Aged 0 to 15",53714
"E06000018","Aged 16 to 64",205783
"E06000018","Aged 65+",35311
"E06000061","Aged 0 to 15",62427
"E06000061","Aged 16 to 64",201761
"E06000061","Aged 65+",48008
"E06000062","Aged 0 to 15",73793
"E06000062","Aged 16 to 64",244117
"E06000062","Aged 65+",53358
"E07000032","Aged 0 to 15",21771
"E07000032","Aged 16 to 64",77950
"E07000032","Aged 65+",21811
"E07000033","Aged 0 to 15",13868
"E07000033","Aged 16 to 64",48069
"E07000033","Aged 65+",13287
"E07000034","Aged 0 to 15",18326
"E07000034","Aged 16 to 64",65966
"E07000034","Aged 65+",18745
"E07000035","Aged 0 to 15",12018
"E07000035","Aged 16 to 64",43546
"E07000035","Aged 65+",15141
"E07000036","Aged 0 to 15",20189
"E07000036","Aged 16 to 64",71849
"E07000036","Aged 65+",19245
"E07000037","Aged 0 to 15",16906
"E07000037","Aged 16 to 64",58981
"E07000037","Aged 65+",15160
"E07000038","Aged 0 to 15",16569
"E07000038","Aged 16 to 64",62076
"E07000038","Aged 65+",19829
"E07000039","Aged 0 to 15",18473
"E07000039","Aged 16 to 64",60669
"E07000039","Aged 65+",13873
"E07000129","Aged 0 to 15",17669
"E07000129","Aged 16 to 64",59564
"E07000129","Aged 65+",16278
"E07000130","Aged 0 to 15",27933
"E07000130","Aged 16 to 64",108267
"E07000130","Aged 65+",26130
"E07000131","Aged 0 to 15",16437
"E07000131","Aged 16 to 64",52942
"E07000131","Aged 65+",14753
"E07000132","Aged 0 to 15",18584
"E07000132","Aged 16 to 64",67401
"E07000132","Aged 65+",18488
"E07000133","Aged 0 to 15",9090
"E07000133","Aged 16 to 64",31582
