"areacd","category","value"
"K02000001","Aged 0 to 15",12011271
"K02000001","Aged 16 to 64",37395652
"K02000001","Aged 65+",9277504
"K03000001","Aged 0 to 15",11603761
"K03000001","Aged 16 to 64",36344294
"K03000001","Aged 65+",9057366
"E06000001","Aged 0 to 15",19996
"E06000001","Aged 16 to 64",55606
"E06000001","Aged 65+",14078
"E06000002","Aged 0 to 15",32482
"E06000002","Aged 16 to 64",90007
"E06000002","Aged 65+",20534
"E06000003","Aged 0 to 15",29576
"E06000003","Aged 16 to 64",87144
"E06000003","Aged 65+",22822
"E06000004","Aged 0 to 15",39943
"E06000004","Aged 16 to 64",115186
"E06000004","Aged 65+",25715
"E06000005","Aged 0 to 15",20172
"E06000005","Aged 16 to 64",61387
"E06000005","Aged 65+",16613
"E06000047","Aged 0 to 15",97067
"E06000047","Aged 16 to 64",318360
"E06000047","Aged 65+",80669
"E06000057","Aged 0 to 15",58815
"E06000057","Aged 16 to 64",195626
"E06000057","Aged 65+",53049
"E08000021","Aged 0 to 15",51308
"E08000021","Aged 16 to 64",176582
"E08000021","Aged 65+",43085
"E08000022","Aged 0 to 15",37065
"E08000022","Aged 16 to 64",118633
"E08000022","Aged 65+",34364
"E08000023","Aged 0 to 15",31785
"E08000023","Aged 16 to 64",94590
"E08000023","Aged 65+",27252
"E08000024","Aged 0 to 15",59135
"E08000024","Aged 16 to 64",184459
"E08000024","Aged 65+",43933
"E08000037","Aged 0 to 15",37817
"E08000037","Aged 16 to 64",122350
"E08000037","Aged 65+",33109
"E06000006","Aged 0 to 15",26842
"E06000006","Aged 16 to 64",76942
"E06000006","Aged 65+",15768
"E06000007","Aged 0 to 15",40108
"E06000007","Aged 16 to 64",123672
"E06000007","Aged 65+",26540
"E06000008","Aged 0 to 15",34991
"E06000008","Aged 16 to 64",84638
"E06000008","Aged 65+",18604
"E06000009","Aged 0 to 15",26707
"E06000009","Aged 16 to 64",87999
"E06000009","Aged 65+",28289
"E06000049","Aged 0 to 15",68893
"E06000049","Aged 16 to 64",224031
"E06000049","Aged 65+",58008
"E06000050","Aged 0 to 15",64554
"E06000050","Aged 16 to 64",203415
"E06000050","Aged 65+",51629
"E06000063","Aged 0 to 15",51737
"E06000063","Aged 16 to 64",167445
"E06000063","Aged 65+",45945
"E06000064","Aged 0 to 15",41808
"E06000064","Aged 16 to 64",139364
"E06000064","Aged 65+",41846
"E07000117","Aged 0 to 15",20989
"E07000117","Aged 16 to 64",55678
"E07000117","Aged 65+",13625
