"areacd","value"
"K02000001",64618693
"K03000001",62775507
"E06000001",92358
"E06000002",139030
"E06000003",135106
"E06000004",195113
"E06000005",105825
"E06000047",513604
"E06000057",315274
"E08000021",286876
"E08000022",203211
"E08000023",147606
"E08000024",275751
"E08000037",200728
"E06000006",126335
"E06000007",208056
"E06000008",149579
"E06000009",142253
"E06000049",376574
"E06000050",336437
"E06000063",274139
"E06000064",224164
"E07000117",88786
"E07000118",111174
"E07000119",76907
"E07000120",80707
"E07000121",138469
"E07000122",90803
"E07000123",140158
"E07000124",57911
"E07000125",68931
"E07000126",109357
"E07000127",112544
"E07000128",107765
"E08000001",283212
"E08000002",188406
"E08000003",515360
"E08000004",230348
"E08000005",213462
"E08000006",242602
"E08000007",286267
"E08000008",222364
"E08000009",231799
"E08000010",320075
"E08000011",146562
"E08000012",465745
"E08000013",177785
"E08000014",275143
"E08000015",320917
"E06000010",260896
"E06000011",335625
"E06000012",159420
"E06000013",168816
"E06000014",202206
"E06000065",603672
"E08000016",236421
"E08000017",303673
"E08000018",261391
"E08000019",554805
"E08000032",531795
"E08000033",206614
"E08000034",429036
"E08000035",770434
"E08000036",331624
"E06000015",255320
"E06000016",342917
"E06000017",38294
"E06000018",310339
"E06000061",330649
"E06000062",391024
"E07000032",123018
"E07000033",77074
"E07000034",104285
"E07000035",71154
"E07000036",113639
"E07000037",90860
"E07000038",99083
"E07000039",97213
"E07000129",95964
"E07000130",170946
"E07000131",87991
"E07000132",107468
"E07000133",50990
"E07000134",95270
"E07000135",56783
"E07000136",67142
"E07000137",137342
"E07000138",98482
"E07000139",110746
"E07000140",89914
"E07000141",138082
"E07000142",91273
"E07000170",122199
"E07000171",114026
"E07000172",110527
"E07000173",115840
"E07000174",106514
"E07000175",117638
"E07000176",112623
"E06000019",185523
"E06000020",170610
"E06000021",253316
"E06000051",309436
"E07000192",97703
"E07000193",116812
"E07000194",101910
"E07000195",124162
"E07000196",109886
"E07000197",131312
"E07000198",97235
"E07000199",77371
"E07000218",62292
"E07000219",127980
"E07000220",104734
"E07000221",122142
"E07000222",140306
"E07000234",95380
"E07000235",76208
"E07000236",85266
"E07000237",102267
"E07000238",120170
"E07000239",99441
"E08000025",1103724
"E08000026",325066
"E08000027",315700
"E08000028",321610
"E08000029",211205
"E08000030",273764
"E08000031",254351
"E06000031",195766
"E06000032",213749
"E06000033",178610
"E06000034",164451
"E06000055",166856
"E06000056",267066
"E07000008",130432
"E07000009",86316
"E07000010",98571
"E07000011",174283
"E07000012",153423
"E07000066",181317
"E07000067",150314
"E07000068",76193
"E07000069",88654
"E07000070",172128
"E07000071",180414
"E07000072",130040
"E07000073",86531
"E07000074",62807
"E07000075",84111
"E07000076",140275
"E07000077",83732
"E07000095",96776
"E07000096",149380
"E07000098",103541
"E07000099",131062
"E07000102",90723
"E07000103",98101
"E07000143",134204
"E07000144",125305
"E07000145",98520
"E07000146",150742
"E07000147",102012
"E07000148",137631
"E07000149",128572
"E07000200",88999
"E07000202",138108
"E07000203",98404
"E07000240",145938
"E07000241",112166
"E07000242",141915
"E07000243",86719
"E07000244",239929
"E07000245",174735
"E09000001",7567
"E09000002",201244
"E09000003",373853
"E09000004",239112
"E09000005",329981
"E09000006",321800
"E09000007",221095
"E09000008",378244
"E09000009",354660
"E09000010",326340
"E09000011",268305
"E09000012",258735
"E09000013",186659
"E09000014",268901
"E09000015",251618
"E09000016",246771
"E09000017",290225
"E09000018",270773
"E09000019",214986
"E09000020",156178
"E09000021",165791
"E09000022",318196
"E09000023",291086
"E09000024",211025
"E09000025",322984
"E09000026",295837
"E09000027",194492
"E09000028",299685
"E09000029",199144
"E09000030",277060
"E09000031",270606
"E09000032",319898
"E09000033",214341
"E06000035",273977
"E06000036",117979
"E06000037",157663
"E06000038",166300
"E06000039",147313
"E06000040",148936
"E06000041",159576
"E06000042",264948
"E06000043",275999
"E06000044",206200
"E06000045",241230
"E06000046",138899
"E06000060",523613
"E07000061",101328
