"areacd","value"
"E07000062",91356
"E07000063",99607
"E07000064",91269
"E07000065",154017
"E07000084",175144
"E07000085",118015
"E07000086",128255
"E07000087",114156
"E07000088",83569
"E07000089",93941
"E07000090",121514
"E07000091",177875
"E07000092",97064
"E07000093",120478
"E07000094",119937
"E07000105",123682
"E07000106",155151
"E07000107",102765
"E07000108",112541
"E07000109",105434
"E07000110",161567
"E07000111",117376
"E07000112",108153
"E07000113",140992
"E07000114",138695
"E07000115",124603
"E07000116",115228
"E07000177",146636
"E07000178",157582
"E07000179",139186
"E07000180",124581
"E07000181",108636
"E07000207",135980
"E07000208",78456
"E07000209",139706
"E07000210",87408
"E07000211",143529
"E07000212",82874
"E07000213",99057
"E07000214",88437
"E07000215",85121
"E07000216",123839
"E07000217",102588
"E07000223",63525
"E07000224",155983
"E07000225",116870
"E07000226",111522
"E07000227",134201
"E07000228",144577
"E07000229",107291
"E06000022",180065
"E06000023",443834
"E06000024",208617
"E06000025",269840
"E06000026",261980
"E06000027",134217
"E06000030",218998
"E06000052",543778
"E06000053",2188
"E06000054",484344
"E06000058",389727
"E06000059",368694
"E07000040",136571
"E07000041",119789
"E07000042",78969
"E07000043",93740
"E07000044",84221
"E07000045",127236
"E07000046",65306
"E07000047",54402
"E07000078",117094
"E07000079",84656
"E07000080",83377
"E07000081",126167
"E07000082",115211
"E07000083",84826
"E06000066",544312
"W06000001",69761
"W06000002",119796
"W06000003",115700
"W06000004",94670
"W06000005",153439
"W06000006",135983
"W06000008",75197
"W06000009",122148
"W06000010",184349
"W06000011",239228
"W06000012",139439
"W06000013",141333
"W06000014",126714
"W06000015",350949
"W06000016",235284
"W06000018",178513
"W06000019",68737
"W06000020",90866
"W06000021",91864
"W06000022",148150
"W06000023",132809
"W06000024",58859
"S12000005",51390
"S12000006",149490
"S12000008",121870
"S12000010",102880
"S12000011",92530
"S12000013",27180
"S12000014",157270
"S12000017",233180
"S12000018",80540
"S12000019",86880
"S12000020",94180
"S12000021",136670
"S12000023",21510
"S12000026",114760
"S12000027",23330
"S12000028",112440
"S12000029",316770
"S12000030",90150
"S12000033",226170
"S12000034",261350
"S12000035",88450
"S12000036",485270
"S12000038",175280
"S12000039",89950
"S12000040",176060
"S12000041",116550
"S12000042",147360
"S12000045",106930
"S12000047",366370
"S12000048",147800
"S12000049",592400
"S12000050",338440
"N09000001",140682
"N09000002",206141
"N09000003",337872
"N09000004",141453
"N09000005",149307
"N09000006",114785
"N09000007",139186
"N09000008",136610
"N09000009",143217
"N09000010",175557
"N09000011",158376
