"areacd","category","value"
"K02000001","Aged 0 to 15",12097775
"K02000001","Aged 16 to 64",41148359
"K02000001","Aged 65+",11372559
"K03000001","Aged 0 to 15",11715115
"K03000001","Aged 16 to 64",39974227
"K03000001","Aged 65+",11086165
"E06000001","Aged 0 to 15",17660
"E06000001","Aged 16 to 64",57677
"E06000001","Aged 65+",17021
"E06000002","Aged 0 to 15",28283
"E06000002","Aged 16 to 64",88743
"E06000002","Aged 65+",22004
"E06000003","Aged 0 to 15",24141
"E06000003","Aged 16 to 64",82210
"E06000003","Aged 65+",28755
"E06000004","Aged 0 to 15",37932
"E06000004","Aged 16 to 64",124068
"E06000004","Aged 65+",33113
"E06000005","Aged 0 to 15",20039
"E06000005","Aged 16 to 64",65739
"E06000005","Aged 65+",20047
"E06000047","Aged 0 to 15",87682
"E06000047","Aged 16 to 64",324694
"E06000047","Aged 65+",101228
"E06000057","Aged 0 to 15",52471
"E06000057","Aged 16 to 64",191885
"E06000057","Aged 65+",70918
"E08000021","Aged 0 to 15",49547
"E08000021","Aged 16 to 64",196007
"E08000021","Aged 65+",41322
"E08000022","Aged 0 to 15",35884
"E08000022","Aged 16 to 64",128694
"E08000022","Aged 65+",38633
"E08000023","Aged 0 to 15",25516
"E08000023","Aged 16 to 64",93343
"E08000023","Aged 65+",28747
"E08000024","Aged 0 to 15",47941
"E08000024","Aged 16 to 64",176860
"E08000024","Aged 65+",50950
"E08000037","Aged 0 to 15",34990
"E08000037","Aged 16 to 64",127995
"E08000037","Aged 65+",37743
"E06000006","Aged 0 to 15",24939
"E06000006","Aged 16 to 64",80475
"E06000006","Aged 65+",20921
"E06000007","Aged 0 to 15",39435
"E06000007","Aged 16 to 64",132573
"E06000007","Aged 65+",36048
"E06000008","Aged 0 to 15",34670
"E06000008","Aged 16 to 64",94244
"E06000008","Aged 65+",20665
"E06000009","Aged 0 to 15",25204
"E06000009","Aged 16 to 64",88436
"E06000009","Aged 65+",28613
"E06000049","Aged 0 to 15",66101
"E06000049","Aged 16 to 64",230209
"E06000049","Aged 65+",80264
"E06000050","Aged 0 to 15",58744
"E06000050","Aged 16 to 64",210210
"E06000050","Aged 65+",67483
"E06000063","Aged 0 to 15",46077
"E06000063","Aged 16 to 64",169877
"E06000063","Aged 65+",58185
"E06000064","Aged 0 to 15",35311
"E06000064","Aged 16 to 64",134512
"E06000064","Aged 65+",54341
"E07000117","Aged 0 to 15",17766
"E07000117","Aged 16 to 64",55479
"E07000117","Aged 65+",15541
"E07000118","Aged 0 to 15",20246
"E07000118","Aged 16 to 64",69963
"E07000118","Aged 65+",20965
"E07000119","Aged 0 to 15",11939
"E07000119","Aged 16 to 64",44839
"E07000119","Aged 65+",20129
"E07000120","Aged 0 to 15",16508
"E07000120","Aged 16 to 64",50085
"E07000120","Aged 65+",14114
"E07000121","Aged 0 to 15",23041
"E07000121","Aged 16 to 64",88182
"E07000121","Aged 65+",27246
"E07000122","Aged 0 to 15",19195
"E07000122","Aged 16 to 64",55826
"E07000122","Aged 65+",15782
"E07000123","Aged 0 to 15",27232
"E07000123","Aged 16 to 64",92581
"E07000123","Aged 65+",20345
"E07000124","Aged 0 to 15",10172
"E07000124","Aged 16 to 64",34708
"E07000124","Aged 65+",13031
"E07000125","Aged 0 to 15",13433
"E07000125","Aged 16 to 64",43506
"E07000125","Aged 65+",11992
"E07000126","Aged 0 to 15",19579
"E07000126","Aged 16 to 64",68115
"E07000126","Aged 65+",21663
"E07000127","Aged 0 to 15",19581
"E07000127","Aged 16 to 64",69751
"E07000127","Aged 65+",23212
"E07000128","Aged 0 to 15",17156
"E07000128","Aged 16 to 64",62112
"E07000128","Aged 65+",28497
"E08000001","Aged 0 to 15",59253
"E08000001","Aged 16 to 64",177107
"E08000001","Aged 65+",46852
"E08000002","Aged 0 to 15",38163
"E08000002","Aged 16 to 64",117435
"E08000002","Aged 65+",32808
"E08000003","Aged 0 to 15",104987
"E08000003","Aged 16 to 64",361010
"E08000003","Aged 65+",49363
"E08000004","Aged 0 to 15",52362
"E08000004","Aged 16 to 64",141999
"E08000004","Aged 65+",35987
"E08000005","Aged 0 to 15",45123
"E08000005","Aged 16 to 64",134772
"E08000005","Aged 65+",33567
"E08000006","Aged 0 to 15",47484
"E08000006","Aged 16 to 64",159956
"E08000006","Aged 65+",35162
"E08000007","Aged 0 to 15",54017
"E08000007","Aged 16 to 64",176680
"E08000007","Aged 65+",55570
"E08000008","Aged 0 to 15",43653
"E08000008","Aged 16 to 64",140838
"E08000008","Aged 65+",37873
"E08000009","Aged 0 to 15",47344
"E08000009","Aged 16 to 64",145327
"E08000009","Aged 65+",39128
"E08000010","Aged 0 to 15",59844
"E08000010","Aged 16 to 64",202117
"E08000010","Aged 65+",58114
"E08000011","Aged 0 to 15",28239
"E08000011","Aged 16 to 64",94099
"E08000011","Aged 65+",24224
"E08000012","Aged 0 to 15",78809
"E08000012","Aged 16 to 64",317675
"E08000012","Aged 65+",69261
"E08000013","Aged 0 to 15",32172
"E08000013","Aged 16 to 64",110725
"E08000013","Aged 65+",34888
"E08000014","Aged 0 to 15",46693
"E08000014","Aged 16 to 64",167434
"E08000014","Aged 65+",61016
"E08000015","Aged 0 to 15",59344
"E08000015","Aged 16 to 64",195874
"E08000015","Aged 65+",65699
"E06000010","Aged 0 to 15",50193
"E06000010","Aged 16 to 64",172531
"E06000010","Aged 65+",38172
"E06000011","Aged 0 to 15",54791
"E06000011","Aged 16 to 64",200359
"E06000011","Aged 65+",80475
