"areacd","value"
"K02000001",57862145
"K03000001",56218438
"E06000001",91027
"E06000002",145618
"E06000003",143469
"E06000004",177263
"E06000005",99423
"E06000047",500924
"E06000057",306545
"E08000021",281158
"E08000022",192246
"E08000023",156064
"E08000024",295295
"E08000037",199629
"E06000006",122788
"E06000007",186091
"E06000008",139515
"E06000009",150721
"E06000049",346153
"E06000050",317808
"E06000063",268350
"E06000064",218652
"E07000117",90561
"E07000118",97171
"E07000119",72772
"E07000120",79870
"E07000121",133336
"E07000122",87301
"E07000123",130902
"E07000124",51240
"E07000125",65769
"E07000126",102910
"E07000127",109029
"E07000128",102816
"E08000001",261493
"E08000002",180395
"E08000003",425314
"E08000004",219416
"E08000005",205256
"E08000006",227620
"E08000007",287756
"E08000008",218241
"E08000009",215171
"E08000010",304994
"E08000011",152719
"E08000012",468092
"E08000013",179317
"E08000014",290466
"E08000015",328899
"E06000010",266432
"E06000011",302348
"E06000012",161378
"E06000013",152853
"E06000014",172673
"E06000065",547753
"E08000016",221774
"E08000017",290486
"E08000018",252946
"E08000019",518632
"E08000032",471338
"E08000033",192293
"E08000034",382683
"E08000035",712903
"E08000036",313595
"E06000015",226548
"E06000016",289504
"E06000017",32209
"E06000018",277215
"E06000061",269577
"E06000062",323749
"E07000032",113042
"E07000033",70312
"E07000034",100283
"E07000035",67953
"E07000036",106771
"E07000037",86535
"E07000038",98072
"E07000039",74435
"E07000129",85291
"E07000130",150648
"E07000131",69964
"E07000132",97969
"E07000133",46336
"E07000134",82341
"E07000135",53570
"E07000136",54168
"E07000137",121465
"E07000138",84583
"E07000139",81893
"E07000140",70282
"E07000141",115168
"E07000142",77954
"E07000170",109626
"E07000171",104901
"E07000172",111126
"E07000173",111619
"E07000174",101440
"E07000175",103577
"E07000176",101594
"E06000019",165165
"E06000020",144437
"E06000021",249472
"E06000051",272689
"E07000192",90255
"E07000193",98343
"E07000194",93185
"E07000195",121854
"E07000196",104880
"E07000197",120873
"E07000198",94369
"E07000199",71653
"E07000218",61228
"E07000219",118642
"E07000220",85476
"E07000221",107812
"E07000222",119180
"E07000234",85570
"E07000235",71063
"E07000236",78682
"E07000237",87514
"E07000238",103876
"E07000239",97270
"E08000025",1000140
"E08000026",301695
"E08000027",308164
"E08000028",291010
"E08000029",199367
"E08000030",260245
"E08000031",245186
"E06000031",158024
"E06000032",180820
"E06000033",164386
"E06000034",132480
"E06000055",137006
"E06000056",222301
"E07000008",107263
"E07000009",62466
"E07000010",78202
"E07000011",149329
"E07000012",121434
"E07000066",160691
"E07000067",122225
"E07000068",70676
"E07000069",86374
"E07000070",155804
"E07000071",148878
"E07000072",117526
"E07000073",73484
"E07000074",53589
"E07000075",75396
"E07000076",130174
"E07000077",66770
"E07000095",82434
"E07000096",133755
"E07000098",92402
"E07000099",113277
"E07000102",80540
"E07000103",75266
"E07000143",111533
"E07000144",108722
"E07000145",88604
"E07000146",131204
"E07000147",93150
"E07000148",125339
"E07000149",103837
"E07000200",79470
"E07000202",114627
"E07000203",79684
"E07000240",126931
"E07000241",94187
"E07000242",121112
"E07000243",75513
"E07000244",217974
"E07000245",153056
"E09000001",5425
"E09000002",156757
"E09000003",297330
"E09000004",218591
"E09000005",245704
"E09000006",289977
"E09000007",180027
"E09000008",322775
"E09000009",286383
"E09000010",260027
"E09000011",210197
"E09000012",190266
"E09000013",153762
"E09000014",207447
"E09000015",207373
"E09000016",228696
"E09000017",238708
"E09000018",201756
"E09000019",173368
"E09000020",139997
"E09000021",136420
"E09000022",256622
"E09000023",241983
"E09000024",175754
"E09000025",224919
"E09000026",226684
"E09000027",165028
"E09000028",231606
"E09000029",172918
"E09000030",171533
"E09000031",220094
"E09000032",261324
"E09000033",174076
"E06000035",242586
"E06000036",103532
"E06000037",141024
"E06000038",135794
"E06000039",110986
"E06000040",134148
"E06000041",142653
"E06000042",187937
"E06000043",240829
"E06000044",187901
"E06000045",209126
"E06000046",125438
"E06000060",464078
"E07000061",86933
"E07000062",82446
"E07000063",89568
"E07000064",83812
"E07000065",133461
"E07000084",147348
"E07000085",106682
"E07000086",110027
"E07000087",101851
"E07000088",74798
"E07000089",81818
"E07000090",118631
"E07000091",165107
"E07000092",86325
"E07000093",103490
"E07000094",100404
"E07000105",93763
"E07000106",130380
"E07000107",82443
"E07000108",104375
"E07000109",93560
"E07000110",136977
"E07000111",108938
"E07000112",94071
"E07000113",116798
"E07000114",124380
"E07000115",102262
"E07000116",102152
"E07000177",124428
"E07000178",127671
"E07000179",121580
"E07000180",112517
"E07000181",93653
"E07000207",115549
"E07000208",67120
"E07000209",125470
"E07000210",78931
"E07000211",119169
"E07000212",74567
"E07000213",89357
"E07000214",80031
"E07000215",75627
"E07000216",114125
"E07000217",87489
"E07000223",57695
"E07000224",132264
"E07000225",101721
"E07000226",90683
"E07000227",112854
"E07000228",124881
"E07000229",95380
"E06000022",162980
"E06000023",390996
"E06000024",181338
"E06000025",230850
"E06000026",249525
"E06000027",123673
"E06000030",171772
"E06000052",475425
"E06000053",1977
"E06000054",410702
"E06000058",337738
"E06000059",330274
"E07000040",121671
"E07000041",103492
"E07000042",66006
"E07000043",85518
"E07000044",79115
"E07000045",113442
"E07000046",54766
"E07000047",46548
"E07000078",106892
"E07000079",79642
"E07000080",75671
"E07000081",104062
"E07000082",105437
"E07000083",71997
"E06000066",475569
"W06000001",69187
"W06000002",116330
"W06000003",108891
"W06000004",89572
"W06000005",144539
"W06000006",125298
"W06000008",69937
"W06000009",113086
"W06000010",169962
"W06000011",228239
"W06000012",138597
"W06000013",130063
"W06000014",116850
"W06000015",299085
"W06000016",235147
"W06000018",169559
"W06000019",72770
"W06000020",90928
"W06000021",83200
"W06000022",135461
"W06000023",121400
"W06000024",59346
"S12000005",48590
"S12000006",148130
"S12000008",123250
"S12000010",85900
"S12000011",86660
"S12000013",29120
"S12000014",142280
"S12000017",207380
"S12000018",89320
"S12000019",79060
"S12000020",87850
"S12000021",137550
"S12000023",19750
"S12000026",105450
"S12000027",22790
"S12000028",113550
"S12000029",305220
"S12000030",81980
"S12000033",219500
"S12000034",225560
"S12000035",91910
"S12000036",440120
"S12000038",175460
"S12000039",96780
"S12000040",147250
"S12000041",111550
"S12000042",152200
"S12000045",109540
"S12000047",350190
"S12000048",132230
"S12000049",612260
"S12000050",323830
"N09000001",
"N09000002",
"N09000003",
"N09000004",
"N09000005",
"N09000006",
"N09000007",
"N09000008",
"N09000009",
"N09000010",
"N09000011",
