"areacd","category","value"
"K02000001","Aged 0 to 15",11711267
"K02000001","Aged 16 to 64",38689471
"K02000001","Aged 65+",9549626
"K03000001","Aged 0 to 15",11330020
"K03000001","Aged 16 to 64",37588846
"K03000001","Aged 65+",9317456
"E06000001","Aged 0 to 15",19021
"E06000001","Aged 16 to 64",56352
"E06000001","Aged 65+",14944
"E06000002","Aged 0 to 15",28716
"E06000002","Aged 16 to 64",89075
"E06000002","Aged 65+",20660
"E06000003","Aged 0 to 15",27313
"E06000003","Aged 16 to 64",87106
"E06000003","Aged 65+",24224
"E06000004","Aged 0 to 15",38086
"E06000004","Aged 16 to 64",119928
"E06000004","Aged 65+",27673
"E06000005","Aged 0 to 15",19852
"E06000005","Aged 16 to 64",62580
"E06000005","Aged 65+",16911
"E06000047","Aged 0 to 15",90722
"E06000047","Aged 16 to 64",320378
"E06000047","Aged 65+",84047
"E06000057","Aged 0 to 15",56496
"E06000057","Aged 16 to 64",197365
"E06000057","Aged 65+",56279
"E08000021","Aged 0 to 15",46973
"E08000021","Aged 16 to 64",178534
"E08000021","Aged 65+",41377
"E08000022","Aged 0 to 15",35695
"E08000022","Aged 16 to 64",123216
"E08000022","Aged 65+",34284
"E08000023","Aged 0 to 15",28647
"E08000023","Aged 16 to 64",94311
"E08000023","Aged 65+",27307
"E08000024","Aged 0 to 15",53097
"E08000024","Aged 16 to 64",181934
"E08000024","Aged 65+",45082
"E08000037","Aged 0 to 15",35770
"E08000037","Aged 16 to 64",122800
"E08000037","Aged 65+",33747
"E06000006","Aged 0 to 15",24933
"E06000006","Aged 16 to 64",78658
"E06000006","Aged 65+",16369
"E06000007","Aged 0 to 15",39213
"E06000007","Aged 16 to 64",124324
"E06000007","Aged 65+",28300
"E06000008","Aged 0 to 15",34315
"E06000008","Aged 16 to 64",88675
"E06000008","Aged 65+",18428
"E06000009","Aged 0 to 15",26334
"E06000009","Aged 16 to 64",89316
"E06000009","Aged 65+",27493
"E06000049","Aged 0 to 15",68113
"E06000049","Aged 16 to 64",226832
"E06000049","Aged 65+",62409
"E06000050","Aged 0 to 15",62188
"E06000050","Aged 16 to 64",208397
"E06000050","Aged 65+",54911
"E06000063","Aged 0 to 15",49357
"E06000063","Aged 16 to 64",171548
"E06000063","Aged 65+",48103
"E06000064","Aged 0 to 15",40393
"E06000064","Aged 16 to 64",140995
"E06000064","Aged 65+",44522
"E07000117","Aged 0 to 15",18746
"E07000117","Aged 16 to 64",55691
"E07000117","Aged 65+",13486
"E07000118","Aged 0 to 15",19653
"E07000118","Aged 16 to 64",68248
"E07000118","Aged 65+",14877
"E07000119","Aged 0 to 15",12598
"E07000119","Aged 16 to 64",45008
"E07000119","Aged 65+",17061
"E07000120","Aged 0 to 15",18100
"E07000120","Aged 16 to 64",50864
"E07000120","Aged 65+",12316
"E07000121","Aged 0 to 15",23818
"E07000121","Aged 16 to 64",87584
"E07000121","Aged 65+",24070
"E07000122","Aged 0 to 15",19020
"E07000122","Aged 16 to 64",55635
"E07000122","Aged 65+",13675
"E07000123","Aged 0 to 15",26262
"E07000123","Aged 16 to 64",89161
"E07000123","Aged 65+",18987
"E07000124","Aged 0 to 15",10911
"E07000124","Aged 16 to 64",35345
"E07000124","Aged 65+",9798
"E07000125","Aged 0 to 15",13810
"E07000125","Aged 16 to 64",42233
"E07000125","Aged 65+",9580
"E07000126","Aged 0 to 15",20469
