"areacd","category","value"
"K02000001","Male",28578474
"K02000001","Female",30105953
"K03000001","Male",27759976
"K03000001","Female",29245445
"E06000001","Male",43455
"E06000001","Female",46225
"E06000002","Male",69559
"E06000002","Female",73464
"E06000003","Male",67451
"E06000003","Female",72091
"E06000004","Male",88229
"E06000004","Female",92615
"E06000005","Male",47152
"E06000005","Female",51020
"E06000047","Male",241174
"E06000047","Female",254922
"E06000057","Male",150302
"E06000057","Female",157188
"E08000021","Male",131778
"E08000021","Female",139197
"E08000022","Male",90684
"E08000022","Female",99378
"E08000023","Male",74422
"E08000023","Female",79205
"E08000024","Male",139729
"E08000024","Female",147798
"E08000037","Male",93374
"E08000037","Female",99902
"E06000006","Male",57991
"E06000006","Female",61561
"E06000007","Male",93483
"E06000007","Female",96837
"E06000008","Male",68100
"E06000008","Female",70133
"E06000009","Male",69012
"E06000009","Female",73983
"E06000049","Male",171281
"E06000049","Female",179651
"E06000050","Male",155271
"E06000050","Female",164327
"E06000063","Male",129743
"E06000063","Female",135384
"E06000064","Male",108793
"E06000064","Female",114225
"E07000117","Male",43814
"E07000117","Female",46478
"E07000118","Male",49129
"E07000118","Female",49693
"E07000119","Male",34964
"E07000119","Female",37692
"E07000120","Male",39447
"E07000120","Female",41392
"E07000121","Male",64690
"E07000121","Female",69906
"E07000122","Male",42900
"E07000122","Female",44924
"E07000123","Male",64660
"E07000123","Female",66937
"E07000124","Male",26089
"E07000124","Female",27043
"E07000125","Male",31803
"E07000125","Female",33537
"E07000126","Male",50285
"E07000126","Female",52884
"E07000127","Male",52189
"E07000127","Female",55672
"E07000128","Male",49366
"E07000128","Female",54136
"E08000001","Male",126802
"E08000001","Female",133594
"E08000002","Male",88353
"E08000002","Female",92667
"E08000003","Male",204729
"E08000003","Female",211709
"E08000004","Male",106318
"E08000004","Female",112102
"E08000005","Male",99998
"E08000005","Female",104867
"E08000006","Male",108384
"E08000006","Female",111634
"E08000007","Male",137639
"E08000007","Female",148185
"E08000008","Male",103811
"E08000008","Female",109756
"E08000009","Male",103499
"E08000009","Female",109452
"E08000010","Male",148167
"E08000010","Female",153822
"E08000011","Male",72154
"E08000011","Female",79683
"E08000012","Male",215980
"E08000012","Female",232437
"E08000013","Male",85698
"E08000013","Female",91097
"E08000014","Male",134070
"E08000014","Female",150092
"E08000015","Male",150023
"E08000015","Female",166988
"E06000010","Male",126395
"E06000010","Female",129477
"E06000011","Male",150633
"E06000011","Female",158511
"E06000012","Male",76839
"E06000012","Female",81149
"E06000013","Male",74355
"E06000013","Female",77607
"E06000014","Male",85273
"E06000014","Female",91872
"E06000065","Male",273091
"E06000065","Female",288921
"E08000016","Male",106276
"E08000016","Female",112416
"E08000017","Male",140412
"E08000017","Female",146537
"E08000018","Male",120993
"E08000018","Female",126956
"E08000019","Male",252258
"E08000019","Female",264076
"E08000032","Male",226341
"E08000032","Female",240592
"E08000033","Male",92393
"E08000033","Female",98845
"E08000034","Male",187281
"E08000034","Female",198009
"E08000035","Male",346183
"E08000035","Female",368696
"E08000036","Male",152987
"E08000036","Female",160951
"E06000015","Male",113583
"E06000015","Female",117669
"E06000016","Male",139925
"E06000016","Female",146015
"E06000017","Male",16898
"E06000017","Female",16639
"E06000018","Male",135959
"E06000018","Female",137578
"E06000061","Male",137129
"E06000061","Female",141382
"E06000062","Male",168851
"E06000062","Female",173364
"E07000032","Male",56695
"E07000032","Female",58829
"E07000033","Male",34670
"E07000033","Female",36027
"E07000034","Male",48287
"E07000034","Female",50571
"E07000035","Male",34357
"E07000035","Female",35322
"E07000036","Male",53106
"E07000036","Female",55316
"E07000037","Male",43421
"E07000037","Female",44708
"E07000038","Male",47758
"E07000038","Female",49342
"E07000039","Male",39577
"E07000039","Female",40126
"E07000129","Male",43816
"E07000129","Female",44562
"E07000130","Male",76004
"E07000130","Female",77004
"E07000131","Male",36662
"E07000131","Female",37279
"E07000132","Male",49088
"E07000132","Female",50673
"E07000133","Male",23072
"E07000133","Female",23975
"E07000134","Male",41704
"E07000134","Female",42523
"E07000135","Male",26917
"E07000135","Female",28286
"E07000136","Male",26873
"E07000136","Female",28016
"E07000137","Male",61992
"E07000137","Female",64926
"E07000138","Male",41184
"E07000138","Female",43478
"E07000139","Male",44358
"E07000139","Female",45758
"E07000140","Male",36385
"E07000140","Female",37992
"E07000141","Male",60489
"E07000141","Female",63133
"E07000142","Male",38353
"E07000142","Female",39772
"E07000170","Male",53462
"E07000170","Female",56235
"E07000171","Male",52562
"E07000171","Female",53825
"E07000172","Male",53368
"E07000172","Female",54908
"E07000173","Male",54513
"E07000173","Female",57413
"E07000174","Male",48494
"E07000174","Female",50943
"E07000175","Male",51501
"E07000175","Female",53790
"E07000176","Male",51028
"E07000176","Female",53023
"E06000019","Male",84093
"E06000019","Female",87904
"E06000020","Male",75628
"E06000020","Female",78102
"E06000021","Male",119060
"E06000021","Female",125070
"E06000051","Male",137569
"E06000051","Female",141725
"E07000192","Male",45311
"E07000192","Female",46313
"E07000193","Male",49862
"E07000193","Female",52206
"E07000194","Male",46134
"E07000194","Female",47356
"E07000195","Male",59469
"E07000195","Female",62734
"E07000196","Male",51852
"E07000196","Female",53331
"E07000197","Male",60259
"E07000197","Female",61362
"E07000198","Male",46133
"E07000198","Female",47335
"E07000199","Male",36641
"E07000199","Female",37362
"E07000218","Male",30377
"E07000218","Female",31433
"E07000219","Male",58379
"E07000219","Female",60075
"E07000220","Male",42716
"E07000220","Female",43439
"E07000221","Male",53470
"E07000221","Female",56682
"E07000222","Male",60413
"E07000222","Female",62581
"E07000234","Male",42486
"E07000234","Female",44206
"E07000235","Male",35023
"E07000235","Female",37039
"E07000236","Male",38497
"E07000236","Female",39781
"E07000237","Male",45012
"E07000237","Female",47462
"E07000238","Male",54613
"E07000238","Female",56308
"E07000239","Male",47658
"E07000239","Female",49294
"E08000025","Male",483263
"E08000025","Female",506449
"E08000026","Male",151759
"E08000026","Female",153081
"E08000027","Male",149535
"E08000027","Female",155343
"E08000028","Male",139102
"E08000028","Female",146983
"E08000029","Male",97047
"E08000029","Female",103143
"E08000030","Male",124805
"E08000030","Female",131003
"E08000031","Male",118545
"E08000031","Female",122146
"E06000031","Male",77110
"E06000031","Female",79410
"E06000032","Male",93055
"E06000032","Female",91935
"E06000033","Male",77907
"E06000033","Female",85008
"E06000034","Male",68084
"E06000034","Female",71385
"E06000055","Male",71200
"E06000055","Female",72565
"E06000056","Male",114299
"E06000056","Female",116337
"E07000008","Male",55222
"E07000008","Female",54648
"E07000009","Male",35261
"E07000009","Female",35982
"E07000010","Male",40225
"E07000010","Female",42085
"E07000011","Male",76918
"E07000011","Female",78652
"E07000012","Male",63644
"E07000012","Female",64945
"E07000066","Male",79491
"E07000066","Female",84694
"E07000067","Male",63474
"E07000067","Female",65519
"E07000068","Male",33351
"E07000068","Female",35351
"E07000069","Male",42147
"E07000069","Female",43922
"E07000070","Male",76824
"E07000070","Female",79070
"E07000071","Male",76237
"E07000071","Female",78480
"E07000072","Male",58279
"E07000072","Female",61902
"E07000073","Male",37616
"E07000073","Female",39939
"E07000074","Male",28602
"E07000074","Female",28855
"E07000075","Male",37676
"E07000075","Female",39719
"E07000076","Male",64663
"E07000076","Female",71006
"E07000077","Male",33617
"E07000077","Female",34609
"E07000095","Male",41233
"E07000095","Female",43532
"E07000096","Male",67270
"E07000096","Female",69743
"E07000098","Male",45020
"E07000098","Female",48556
"E07000099","Male",56285
"E07000099","Female",58999
"E07000102","Male",40116
"E07000102","Female",42627
"E07000103","Male",39553
"E07000103","Female",40418
"E07000143","Male",58374
"E07000143","Female",60152
"E07000144","Male",57059
"E07000144","Female",59707
"E07000145","Male",43644
"E07000145","Female",46364
"E07000146","Male",65087
"E07000146","Female",68611
"E07000147","Male",47077
"E07000147","Female",50628
"E07000148","Male",58646
"E07000148","Female",62553
"E07000149","Male",52918
"E07000149","Female",55634
"E07000200","Male",40176
"E07000200","Female",41882
"E07000202","Male",56843
"E07000202","Female",59433
"E07000203","Male",42350
"E07000203","Female",42733
"E07000240","Male",63011
"E07000240","Female",65118
"E07000241","Male",47040
"E07000241","Female",49798
"E07000242","Male",62664
"E07000242","Female",64500
"E07000243","Male",38588
"E07000243","Female",39935
"E07000244","Male",108748
"E07000244","Female",116390
"E07000245","Male",79307
"E07000245","Female",79480
"E09000001","Male",3519
"E09000001","Female",3062
"E09000002","Male",78266
"E09000002","Female",84178
"E09000003","Male",150058
"E09000003","Female",163411
"E09000004","Male",104771
"E09000004","Female",112687
"E09000005","Male",127643
"E09000005","Female",132674
"E09000006","Male",141328
"E09000006","Female",153574
"E09000007","Male",91095
"E09000007","Female",98908
"E09000008","Male",160997
"E09000008","Female",171069
"E09000009","Male",149030
"E09000009","Female",153222
"E09000010","Male",131469
"E09000010","Female",141262
"E09000011","Male",102251
"E09000011","Female",109917
"E09000012","Male",96467
"E09000012","Female",102620
"E09000013","Male",76243
"E09000013","Female",84391
"E09000014","Male",105714
"E09000014","Female",112845
"E09000015","Male",100845
"E09000015","Female",107064
"E09000016","Male",108836
"E09000016","Female",116876
"E09000017","Male",119247
"E09000017","Female",125806
"E09000018","Male",105912
"E09000018","Female",108386
"E09000019","Male",84808
"E09000019","Female",90909
"E09000020","Male",70039
"E09000020","Female",77639
"E09000021","Male",71528
"E09000021","Female",74475
"E09000022","Male",132477
"E09000022","Female",134340
