"areacd","category","value"
"K02000001","Male",32647912
"K02000001","Female",33979595
"K03000001","Male",31714062
"K03000001","Female",33014926
"E06000001","Male",44853
"E06000001","Female",47548
"E06000002","Male",69963
"E06000002","Female",72171
"E06000003","Male",66196
"E06000003","Female",70503
"E06000004","Male",96857
"E06000004","Female",100003
"E06000005","Male",52040
"E06000005","Female",54492
"E06000047","Male",254128
"E06000047","Female",264434
"E06000057","Male",155350
"E06000057","Female",162677
"E08000021","Male",147626
"E08000021","Female",149461
"E08000022","Male",100399
"E08000022","Female",106895
"E08000023","Male",71951
"E08000023","Female",76417
"E08000024","Male",133108
"E08000024","Female",141169
"E08000037","Male",97588
"E08000037","Female",100847
"E06000006","Male",62835
"E06000006","Female",65621
"E06000007","Male",105277
"E06000007","Female",106968
"E06000008","Male",76653
"E06000008","Female",77413
"E06000009","Male",70173
"E06000009","Female",72234
"E06000049","Male",191487
"E06000049","Female",199069
"E06000050","Male",172641
"E06000050","Female",180721
"E06000063","Male",134211
"E06000063","Female",138798
"E06000064","Male",111638
"E06000064","Female",114524
"E07000117","Male",45911
"E07000117","Female",47038
"E07000118","Male",58471
"E07000118","Female",58291
"E07000119","Male",39039
"E07000119","Female",40813
"E07000120","Male",40420
"E07000120","Female",41534
"E07000121","Male",68755
"E07000121","Female",71040
"E07000122","Male",46904
"E07000122","Female",47992
"E07000123","Male",72235
"E07000123","Female",72389
"E07000124","Male",29309
"E07000124","Female",30594
"E07000125","Male",34744
"E07000125","Female",36140
"E07000126","Male",54080
"E07000126","Female",56397
"E07000127","Male",56020
"E07000127","Female",59724
"E07000128","Male",53271
"E07000128","Female",56273
"E08000001","Male",145446
"E08000001","Female",149442
"E08000002","Male",94916
"E08000002","Female",98847
"E08000003","Male",272295
"E08000003","Female",273652
"E08000004","Male",118262
"E08000004","Female",123815
"E08000005","Male",108932
"E08000005","Female",113110
"E08000006","Male",132306
"E08000006","Female",131305
"E08000007","Male",142845
"E08000007","Female",150327
"E08000008","Male",112696
"E08000008","Female",117256
"E08000009","Male",114948
"E08000009","Female",121173
"E08000010","Male",161952
"E08000010","Female",164434
"E08000011","Male",72572
"E08000011","Female",79221
"E08000012","Male",237028
"E08000012","Female",247659
"E08000013","Male",89292
"E08000013","Female",92249
"E08000014","Male",134858
"E08000014","Female",144050
"E08000015","Male",155278
"E08000015","Female",165454
"E06000010","Male",134821
"E06000010","Female",133928
"E06000011","Male",166462
"E06000011","Female",172482
"E06000012","Male",77377
"E06000012","Female",80580
"E06000013","Male",84250
"E06000013","Female",86033
"E06000014","Male",98193
"E06000014","Female",105684
"E06000065","Male",299924
"E06000065","Female",310736
"E08000016","Male",119936
"E08000016","Female",123622
"E08000017","Male",153329
"E08000017","Female",155109
"E08000018","Male",130381
"E08000018","Female",135610
"E08000019","Male",275280
"E08000019","Female",281119
"E08000032","Male",267700
"E08000032","Female",278266
"E08000033","Male",101320
"E08000033","Female",106409
"E08000034","Male",212875
"E08000034","Female",220384
"E08000035","Male",393419
"E08000035","Female",411221
"E08000036","Male",171292
"E08000036","Female",176909
"E06000015","Male",130172
"E06000015","Female",132842
"E06000016","Male",183039
"E06000016","Female",186737
"E06000017","Male",20455
"E06000017","Female",19720
"E06000018","Male",159860
"E06000018","Female",163300
"E06000061","Male",174519
"E06000061","Female",180329
"E06000062","Male",209175
"E06000062","Female",212993
"E07000032","Male",61823
"E07000032","Female",63968
"E07000033","Male",39013
"E07000033","Female",40165
"E07000034","Male",51173
"E07000034","Female",52981
"E07000035","Male",34851
"E07000035","Female",36339
"E07000036","Male",55831
"E07000036","Female",57880
"E07000037","Male",44730
"E07000037","Female",46440
"E07000038","Male",48999
"E07000038","Female",51372
"E07000039","Male",50748
"E07000039","Female",52567
"E07000129","Male",49854
"E07000129","Female",51923
"E07000130","Male",90869
"E07000130","Female",90119
"E07000131","Male",46393
"E07000131","Female",47268
"E07000132","Male",55527
"E07000132","Female",57161
"E07000133","Male",25148
"E07000133","Female",26322
"E07000134","Male",50684
"E07000134","Female",51777
"E07000135","Male",28036
"E07000135","Female",29736
"E07000136","Male",34518
"E07000136","Female",35708
"E07000137","Male",69258
"E07000137","Female",72781
"E07000138","Male",51352
"E07000138","Female",52252
"E07000139","Male",56709
"E07000139","Female",59112
"E07000140","Male",45880
"E07000140","Female",47587
"E07000141","Male",68858
"E07000141","Female",73354
"E07000142","Male",46067
"E07000142","Female",47827
"E07000170","Male",62040
"E07000170","Female",64481
"E07000171","Male",57789
"E07000171","Female",58696
"E07000172","Male",54648
"E07000172","Female",56609
"E07000173","Male",56957
"E07000173","Female",60172
"E07000174","Male",54252
"E07000174","Female",55985
"E07000175","Male",59985
"E07000175","Female",61639
"E07000176","Male",57353
"E07000176","Female",59294
"E06000019","Male",91680
"E06000019","Female",94693
"E06000020","Male",89832
"E06000020","Female",92249
"E06000021","Male",129285
"E06000021","Female",129896
"E06000051","Male",157931
"E06000051","Female",161798
"E07000192","Male",48853
"E07000192","Female",50130
"E07000193","Male",61068
"E07000193","Female",60984
"E07000194","Male",51420
"E07000194","Female",52759
"E07000195","Male",61621
"E07000195","Female",63454
"E07000196","Male",55374
"E07000196","Female",55104
"E07000197","Male",67034
"E07000197","Female",68252
"E07000198","Male",47599
"E07000198","Female",48767
"E07000199","Male",38291
"E07000199","Female",39407
"E07000218","Male",31649
"E07000218","Female",32734
"E07000219","Male",65268
"E07000219","Female",67685
"E07000220","Male",55264
"E07000220","Female",55734
"E07000221","Male",63029
"E07000221","Female",66787
"E07000222","Male",72819
"E07000222","Female",73186
"E07000234","Male",48226
"E07000234","Female",50113
"E07000235","Male",37770
"E07000235","Female",40102
"E07000236","Male",42677
"E07000236","Female",43630
"E07000237","Male",51630
"E07000237","Female",53507
"E07000238","Male",63251
"E07000238","Female",65752
"E07000239","Male",49776
"E07000239","Female",51816
"E08000025","Male",564363
"E08000025","Female",586283
"E08000026","Male",172287
"E08000026","Female",171428
"E08000027","Male",158358
"E08000027","Female",163732
"E08000028","Male",167648
"E08000028","Female",172550
"E08000029","Male",105039
"E08000029","Female",111284
"E08000030","Male",139266
"E08000030","Female",145334
"E08000031","Male",129495
"E08000031","Female",134024
"E06000031","Male",105418
"E06000031","Female",107608
"E06000032","Male",111535
"E06000032","Female",111571
"E06000033","Male",88781
"E06000033","Female",93334
"E06000034","Male",85859
"E06000034","Female",89065
"E06000055","Male",88818
"E06000055","Female",91833
"E06000056","Male",140761
"E06000056","Female",143927
"E07000008","Male",72148
"E07000008","Female",71005
"E07000009","Male",42856
"E07000009","Female",44154
"E07000010","Male",50352
"E07000010","Female",52135
"E07000011","Male",87960
"E07000011","Female",89008
"E07000012","Male",78157
"E07000012","Female",80874
"E07000066","Male",91131
"E07000066","Female",96583
"E07000067","Male",75375
"E07000067","Female",78064
"E07000068","Male",37569
"E07000068","Female",39662
"E07000069","Male",43400
"E07000069","Female",46219
"E07000070","Male",88294
"E07000070","Female",91588
"E07000071","Male",93772
"E07000071","Female",96698
"E07000072","Male",65062
"E07000072","Female",69144
"E07000073","Male",44749
"E07000073","Female",47203
"E07000074","Male",31640
"E07000074","Female",32841
"E07000075","Male",41600
"E07000075","Female",43690
"E07000076","Male",70189
"E07000076","Female",75507
"E07000077","Male",43746
"E07000077","Female",45615
"E07000095","Male",47966
"E07000095","Female",50903
"E07000096","Male",75916
"E07000096","Female",78451
"E07000098","Male",51562
"E07000098","Female",55672
"E07000099","Male",64711
"E07000099","Female",68484
"E07000102","Male",45499
"E07000102","Female",47944
"E07000103","Male",50350
"E07000103","Female",51822
"E07000143","Male",69202
"E07000143","Female",70321
"E07000144","Male",63226
"E07000144","Female",66495
"E07000145","Male",49251
"E07000145","Female",51197
"E07000146","Male",74812
"E07000146","Female",78520
"E07000147","Male",50036
"E07000147","Female",52473
"E07000148","Male",70350
"E07000148","Female",72950
"E07000149","Male",67454
"E07000149","Female",70677
"E07000200","Male",44249
"E07000200","Female",46668
"E07000202","Male",69990
"E07000202","Female",70819
"E07000203","Male",49864
"E07000203","Female",50976
"E07000240","Male",72289
"E07000240","Female",75769
"E07000241","Male",58154
"E07000241","Female",61026
"E07000242","Male",72136
"E07000242","Female",75199
"E07000243","Male",44204
"E07000243","Female",45337
"E07000244","Male",119317
"E07000244","Female",125735
"E07000245","Male",89841
"E07000245","Female",89862
"E09000001","Male",4902
"E09000001","Female",3863
"E09000002","Male",106502
"E09000002","Female",112326
"E09000003","Male",189300
"E09000003","Female",201290
"E09000004","Male",118780
"E09000004","Female",127842
"E09000005","Male",171633
"E09000005","Female",175791
"E09000006","Male",158883
"E09000006","Female",172309
"E09000007","Male",104146
"E09000007","Female",112990
"E09000008","Male",187912
"E09000008","Female",202731
"E09000009","Male",181512
"E09000009","Female",185772
"E09000010","Male",160702
"E09000010","Female",174449
"E09000011","Male",140819
"E09000011","Female",147386
"E09000012","Male",127967
"E09000012","Female",137858
"E09000013","Male",89626
"E09000013","Female",98936
"E09000014","Male",132625
"E09000014","Female",141091
"E09000015","Male",129453
"E09000015","Female",132612
"E09000016","Male",125847
"E09000016","Female",135449
"E09000017","Male",151119
"E09000017","Female",154522
"E09000018","Male",144085
"E09000018","Female",145567
"E09000019","Male",106987
"E09000019","Female",115007
"E09000020","Male",69710
"E09000020","Female",77095
"E09000021","Male",82068
"E09000021","Female",87729
"E09000022","Male",160070
"E09000022","Female",169443
"E09000023","Male",145710
"E09000023","Female",160196
"E09000024","Male",105614
"E09000024","Female",111605
"E09000025","Male",174964
"E09000025","Female",174822
"E09000026","Male",154487
"E09000026","Female",157293
"E09000027","Male",95690
"E09000027","Female",102495
"E09000028","Male",151754
"E09000028","Female",160837
"E09000029","Male",101017
"E09000029","Female",107499
"E09000030","Male",153825
"E09000030","Female",151241
"E09000031","Male",138107
"E09000031","Female",142908
"E09000032","Male",158080
"E09000032","Female",176478
"E09000033","Male",102657
"E09000033","Female",105758
"E06000035","Male",137522
"E06000035","Female",142330
"E06000036","Male",60177
"E06000036","Female",61483
"E06000037","Male",79620
"E06000037","Female",81263
"E06000038","Male",86656
"E06000038","Female",87632
"E06000039","Male",78172
"E06000039","Female",79460
"E06000040","Male",75785
"E06000040","Female",78108
"E06000041","Male",84353
"E06000041","Female",87436
"E06000042","Male",138770
"E06000042","Female",142664
"E06000043","Male",137784
"E06000043","Female",142136
"E06000044","Male",104987
"E06000044","Female",105425
"E06000045","Male",125986
"E06000045","Female",123442
"E06000046","Male",68788
"E06000046","Female",72976
"E06000060","Male",266869
"E06000060","Female",278990
"E07000061","Male",49078
"E07000061","Female",53676
"E07000062","Male",44441
"E07000062","Female",47129
"E07000063","Male",48693
"E07000063","Female",52120
"E07000064","Male",44037
"E07000064","Female",48544
"E07000065","Male",75926
"E07000065","Female",81617
"E07000084","Male",89715
"E07000084","Female",91681
"E07000085","Male",59258
"E07000085","Female",62896
"E07000086","Male",64536
"E07000086","Female",67639
"E07000087","Male",56094
"E07000087","Female",58785
"E07000088","Male",40835
"E07000088","Female",42187
"E07000089","Male",48460
"E07000089","Female",49267
"E07000090","Male",59965
"E07000090","Female",64134
"E07000091","Male",85094
"E07000091","Female",92017
"E07000092","Male",50045
"E07000092","Female",49711
"E07000093","Male",62537
"E07000093","Female",65115
"E07000094","Male",60527
"E07000094","Female",63880
"E07000105","Male",63439
"E07000105","Female",67027
"E07000106","Male",75520
"E07000106","Female",81589
"E07000107","Male",55728
"E07000107","Female",58200
"E07000108","Male",56677
"E07000108","Female",59225
"E07000109","Male",52568
"E07000109","Female",54780
"E07000110","Male",85015
"E07000110","Female",86801
"E07000111","Male",57824
"E07000111","Female",61751
"E07000112","Male",53623
"E07000112","Female",56036
"E07000113","Male",74682
"E07000113","Female",75071
"E07000114","Male",67626
"E07000114","Female",72998
"E07000115","Male",64113
"E07000115","Female",67389
"E07000116","Male",56022
"E07000116","Female",59136
"E07000177","Male",77911
"E07000177","Female",78536
"E07000178","Male",79759
"E07000178","Female",81030
"E07000179","Male",71520
"E07000179","Female",73355
"E07000180","Male",67000
"E07000180","Female",68040
"E07000181","Male",54802
"E07000181","Female",56560
"E07000207","Male",66206
"E07000207","Female",70892
"E07000208","Male",38963
"E07000208","Female",41722
"E07000209","Male",70269
"E07000209","Female",72059
"E07000210","Male",42222
"E07000210","Female",44540
"E07000211","Male",72664
"E07000211","Female",76384
"E07000212","Male",41954
"E07000212","Female",44706
"E07000213","Male",50135
"E07000213","Female",51927
"E07000214","Male",44547
"E07000214","Female",45997
"E07000215","Male",42014
"E07000215","Female",44909
"E07000216","Male",61221
"E07000216","Female",64470
"E07000217","Male",51924
"E07000217","Female",52499
"E07000223","Male",31309
"E07000223","Female",33271
"E07000224","Male",78684
"E07000224","Female",84626
"E07000225","Male",59138
"E07000225","Female",63677
"E07000226","Male",58307
"E07000226","Female",58837
"E07000227","Male",69728
"E07000227","Female",73204
"E07000228","Male",72792
"E07000228","Female",77235
"E07000229","Male",53539
"E07000229","Female",57393
"E06000022","Male",92992
"E06000022","Female",97184
"E06000023","Male",233317
"E06000023","Female",236603
"E06000024","Male",104536
"E06000024","Female",111004
"E06000025","Male",140642
"E06000025","Female",143921
"E06000026","Male",130813
"E06000026","Female",134228
"E06000027","Male",67491
"E06000027","Female",71263
"E06000030","Male",115592
"E06000030","Female",116342
"E06000052","Male",273653
"E06000052","Female",290042
"E06000053","Male",1056
"E06000053","Female",1042
"E06000054","Male",247579
"E06000054","Female",255406
"E06000058","Male",195981
"E06000058","Female",204201
"E06000059","Male",183821
"E06000059","Female",193878
"E07000040","Male",71034
"E07000040","Female",76312
"E07000041","Male",61654
"E07000041","Female",64658
"E07000042","Male",39765
"E07000042","Female",41669
"E07000043","Male",47592
"E07000043","Female",49733
"E07000044","Male",41768
"E07000044","Female",44690
"E07000045","Male",64915
"E07000045","Female",69050
"E07000046","Male",33142
"E07000046","Female",34695
"E07000047","Male",27412
"E07000047","Female",28453
"E07000078","Male",58303
"E07000078","Female",61156
"E07000079","Male",43186
"E07000079","Female",46446
"E07000080","Male",42346
"E07000080","Female",43928
"E07000081","Male",65112
"E07000081","Female",66664
"E07000082","Male",58215
"E07000082","Female",60617
"E07000083","Male",45167
"E07000083","Female",47536
"E06000066","Male",276130
"E06000066","Female",288857
"W06000001","Male",33415
"W06000001","Female",34863
"W06000002","Male",57715
"W06000002","Female",59869
"W06000003","Male",55357
"W06000003","Female",58839
"W06000004","Male",46197
"W06000004","Female",48569
"W06000005","Male",75925
"W06000005","Female",78667
"W06000006","Male",67502
"W06000006","Female",68397
"W06000008","Male",34870
"W06000008","Female",35769
"W06000009","Male",59274
"W06000009","Female",62158
"W06000010","Male",90964
"W06000010","Female",95161
"W06000011","Male",118306
"W06000011","Female",120401
"W06000012","Male",69350
"W06000012","Female",72035
"W06000013","Male",71412
"W06000013","Female",73088
"W06000014","Male",62551
"W06000014","Female",67251
"W06000015","Male",174351
"W06000015","Female",182786
"W06000016","Male",116481
"W06000016","Female",121093
"W06000018","Male",86461
"W06000018","Female",90274
"W06000019","Male",33091
"W06000019","Female",34291
"W06000020","Male",44505
"W06000020","Female",47180
"W06000021","Male",45059
"W06000021","Female",46671
"W06000022","Male",77028
"W06000022","Female",79745
"W06000023","Male",64969
"W06000023","Female",66587
"W06000024","Male",29013
"W06000024","Female",30242
"S12000005","Male",25371
"S12000005","Female",26289
"S12000006","Male",71191
"S12000006","Female",75619
"S12000008","Male",58627
"S12000008","Female",62243
"S12000010","Male",52020
"S12000010","Female",56490
"S12000011","Male",45669
"S12000011","Female",49741
"S12000013","Male",12983
"S12000013","Female",13357
"S12000014","Male",77864
"S12000014","Female",81666
"S12000017","Male",114837
"S12000017","Female",119673
"S12000018","Male",38034
"S12000018","Female",41116
"S12000019","Male",45040
"S12000019","Female",48380
"S12000020","Male",46670
"S12000020","Female",47500
"S12000021","Male",64324
"S12000021","Female",70246
"S12000023","Male",10789
"S12000023","Female",11081
"S12000026","Male",56397
"S12000026","Female",60093
"S12000027","Male",11583
"S12000027","Female",11327
"S12000028","Male",53553
"S12000028","Female",58457
"S12000029","Male",156022
"S12000029","Female",167098
"S12000030","Male",44295
"S12000030","Female",47805
"S12000033","Male",108876
"S12000033","Female",113884
"S12000034","Male",129245
"S12000034","Female",132655
"S12000035","Male",43359
"S12000035","Female",44001
"S12000036","Male",246760
"S12000036","Female",261520
"S12000038","Male",87344
"S12000038","Female",93696
"S12000039","Male",42930
"S12000039","Female",46630
"S12000040","Male",87903
"S12000040","Female",91837
"S12000041","Male",56204
"S12000041","Female",59326
"S12000042","Male",71979
"S12000042","Female",76311
"S12000045","Male",52425
"S12000045","Female",56445
"S12000047","Male",179517
