"areacd","category","value"
"K02000001","Male",29296969
"K02000001","Female",30653395
"K03000001","Male",28458718
"K03000001","Female",29777604
"E06000001","Male",43731
"E06000001","Female",46586
"E06000002","Male",67644
"E06000002","Female",70807
"E06000003","Male",66981
"E06000003","Female",71662
"E06000004","Male",90668
"E06000004","Female",95019
"E06000005","Male",47931
"E06000005","Female",51412
"E06000047","Male",240447
"E06000047","Female",254700
"E06000057","Male",151050
"E06000057","Female",159090
"E08000021","Male",130331
"E08000021","Female",136553
"E08000022","Male",92732
"E08000022","Female",100463
"E08000023","Male",72716
"E08000023","Female",77549
"E08000024","Male",135934
"E08000024","Female",144179
"E08000037","Male",93283
"E08000037","Female",99034
"E06000006","Male",58231
"E06000006","Female",61729
"E06000007","Male",94702
"E06000007","Female",97135
"E06000008","Male",69917
"E06000008","Female",71501
"E06000009","Male",69619
"E06000009","Female",73524
"E06000049","Male",174423
"E06000049","Female",182931
"E06000050","Male",158068
"E06000050","Female",167428
"E06000063","Male",131512
"E06000063","Female",137496
"E06000064","Male",110310
"E06000064","Female",115600
"E07000117","Male",42869
"E07000117","Female",45054
"E07000118","Male",51197
"E07000118","Female",51581
"E07000119","Male",36169
"E07000119","Female",38498
"E07000120","Male",39914
"E07000120","Female",41366
"E07000121","Male",65446
"E07000121","Female",70026
"E07000122","Male",43114
"E07000122","Female",45216
"E07000123","Male",66294
"E07000123","Female",68116
"E07000124","Male",27518
"E07000124","Female",28536
"E07000125","Male",32049
"E07000125","Female",33574
"E07000126","Male",51567
"E07000126","Female",54011
"E07000127","Male",52903
"E07000127","Female",56685
"E07000128","Male",51598
"E07000128","Female",56162
"E08000001","Male",129671
"E08000001","Female",134840
"E08000002","Male",88465
"E08000002","Female",92534
"E08000003","Male",223525
"E08000003","Female",221400
"E08000004","Male",106995
"E08000004","Female",111993
"E08000005","Male",101298
"E08000005","Female",105988
"E08000006","Male",108210
"E08000006","Female",109711
"E08000007","Male",136748
"E08000007","Female",145620
"E08000008","Male",104127
"E08000008","Female",109540
"E08000009","Male",104530
"E08000009","Female",109599
"E08000010","Male",150310
"E08000010","Female",154648
"E08000011","Male",70823
"E08000011","Female",78393
"E08000012","Male",218618
"E08000012","Female",229473
"E08000013","Male",85500
"E08000013","Female",90238
"E08000014","Male",132127
"E08000014","Female",146726
"E08000015","Male",149949
"E08000015","Female",165181
"E06000010","Male",125847
"E06000010","Female",127202
"E06000011","Male",158181
"E06000011","Female",166936
"E06000012","Male",77230
"E06000012","Female",81312
"E06000013","Male",77559
"E06000013","Female",80652
"E06000014","Male",90207
"E06000014","Female",96436
"E06000065","Male",283641
"E06000065","Female",296318
"E08000016","Male",107761
"E08000016","Female",113466
"E08000017","Male",142640
"E08000017","Female",148210
"E08000018","Male",122743
"E08000018","Female",128979
"E08000019","Male",254640
"E08000019","Female",265000
"E08000032","Male",236263
"E08000032","Female",248387
"E08000033","Male",94575
"E08000033","Female",100405
"E08000034","Male",194237
"E08000034","Female",203293
"E08000035","Male",350666
"E08000035","Female",372376
"E08000036","Male",154822
"E08000036","Female",163215
"E06000015","Male",115479
"E06000015","Female",119022
"E06000016","Male",143768
"E06000016","Female",150359
"E06000017","Male",18323
"E06000017","Female",17300
"E06000018","Male",140482
"E06000018","Female",139142
"E06000061","Male",144534
"E06000061","Female",148972
"E06000062","Male",174241
"E06000062","Female",178869
"E07000032","Male",58075
"E07000032","Female",60346
"E07000033","Male",36164
"E07000033","Female",37437
"E07000034","Male",49106
"E07000034","Female",51439
"E07000035","Male",34278
"E07000035","Female",35258
"E07000036","Male",53747
"E07000036","Female",56321
"E07000037","Male",43997
"E07000037","Female",45264
"E07000038","Male",47913
"E07000038","Female",49619
"E07000039","Male",43043
"E07000039","Female",43463
"E07000129","Male",45506
"E07000129","Female",46158
"E07000130","Male",76613
"E07000130","Female",78127
"E07000131","Male",39719
"E07000131","Female",40141
"E07000132","Male",50018
"E07000132","Female",51935
"E07000133","Male",23770
"E07000133","Female",24848
"E07000134","Male",43975
"E07000134","Female",44870
"E07000135","Male",27348
"E07000135","Female",29106
"E07000136","Male",28313
"E07000136","Female",29777
"E07000137","Male",66036
"E07000137","Female",68853
"E07000138","Male",42797
"E07000138","Female",44949
"E07000139","Male",48861
"E07000139","Female",51082
"E07000140","Male",39319
"E07000140","Female",41513
"E07000141","Male",61955
"E07000141","Female",65174
"E07000142","Male",40943
"E07000142","Female",42843
"E07000170","Male",55720
"E07000170","Female",58385
"E07000171","Male",54363
"E07000171","Female",55654
"E07000172","Male",53089
"E07000172","Female",54996
"E07000173","Male",54390
"E07000173","Female",57457
"E07000174","Male",48635
"E07000174","Female",51071
"E07000175","Male",53564
"E07000175","Female",56212
"E07000176","Male",52770
"E07000176","Female",54660
"E06000019","Male",85897
"E06000019","Female",90136
"E06000020","Male",79065
"E06000020","Female",81538
"E06000021","Male",118312
"E06000021","Female",122766
"E06000051","Male",143115
"E06000051","Female",145695
"E07000192","Male",46403
"E07000192","Female",47776
"E07000193","Male",52571
"E07000193","Female",54229
"E07000194","Male",47075
"E07000194","Female",48505
"E07000195","Male",59863
"E07000195","Female",63213
"E07000196","Male",52323
"E07000196","Female",53977
"E07000197","Male",61024
"E07000197","Female",62200
"E07000198","Male",46696
"E07000198","Female",48284
"E07000199","Male",36634
"E07000199","Female",37790
"E07000218","Male",30489
"E07000218","Female",31280
"E07000219","Male",59190
"E07000219","Female",61478
"E07000220","Male",44667
"E07000220","Female",45331
"E07000221","Male",54867
"E07000221","Female",58616
"E07000222","Male",65581
"E07000222","Female",67138
