"areacd","category","value"
"K02000001","Male",30532211
"K02000001","Female",31728275
"K03000001","Male",29653649
"K03000001","Female",30813504
"E06000001","Male",44387
"E06000001","Female",47143
"E06000002","Male",67018
"E06000002","Female",70255
"E06000003","Male",65917
"E06000003","Female",69950
"E06000004","Male",93072
"E06000004","Female",96906
"E06000005","Male",50811
"E06000005","Female",53544
"E06000047","Male",247862
"E06000047","Female",259449
"E06000057","Male",153426
"E06000057","Female",161063
"E08000021","Male",136041
"E08000021","Female",137381
"E08000022","Male",95828
"E08000022","Female",103189
"E08000023","Male",71734
"E08000023","Female",76775
"E08000024","Male",134057
"E08000024","Female",142152
"E08000037","Male",96308
"E08000037","Female",101173
"E06000006","Male",60287
"E06000006","Female",63349
"E06000007","Male",99149
"E06000007","Female",100908
"E06000008","Male",72714
"E06000008","Female",73483
"E06000009","Male",69842
"E06000009","Female",72736
"E06000049","Male",180263
"E06000049","Female",187760
"E06000050","Male",160523
"E06000050","Female",168593
"E06000063","Male",134816
"E06000063","Female",139189
"E06000064","Male",111338
"E06000064","Female",115443
"E07000117","Male",42645
"E07000117","Female",44382
"E07000118","Male",53020
"E07000118","Female",52662
"E07000119","Male",36656
"E07000119","Female",38785
"E07000120","Male",39989
"E07000120","Female",41014
"E07000121","Male",65685
"E07000121","Female",70328
"E07000122","Male",43851
"E07000122","Female",45436
"E07000123","Male",69022
"E07000123","Female",68934
"E07000124","Male",28006
"E07000124","Female",28998
"E07000125","Male",33062
"E07000125","Female",34417
"E07000126","Male",53098
"E07000126","Female",55511
"E07000127","Male",53644
"E07000127","Female",56939
"E07000128","Male",52153
"E07000128","Female",55904
"E08000001","Male",134599
"E08000001","Female",138450
"E08000002","Male",89759
"E08000002","Female",94126
"E08000003","Male",242337
"E08000003","Female",241447
"E08000004","Male",109069
"E08000004","Female",113742
"E08000005","Male",103088
"E08000005","Female",107160
"E08000006","Male",114222
"E08000006","Female",114726
"E08000007","Male",137635
"E08000007","Female",144628
"E08000008","Male",106436
"E08000008","Female",110981
"E08000009","Male",109354
"E08000009","Female",113711
"E08000010","Male",155844
"E08000010","Female",158519
"E08000011","Male",69950
"E08000011","Female",77120
"E08000012","Male",225143
"E08000012","Female",232380
"E08000013","Male",85852
"E08000013","Female",89420
"E08000014","Male",131006
"E08000014","Female",143147
"E08000015","Male",152236
"E08000015","Female",165535
"E06000010","Male",128194
"E06000010","Female",127885
"E06000011","Male",162295
"E06000011","Female",170453
"E06000012","Male",77705
"E06000012","Female",80984
"E06000013","Male",81658
"E06000013","Female",83914
"E06000014","Male",93354
"E06000014","Female",99044
"E06000065","Male",293375
"E06000065","Female",303021
"E08000016","Male",112284
"E08000016","Female",116689
"E08000017","Male",148068
"E08000017","Female",152116
"E08000018","Male",125501
"E08000018","Female",130812
"E08000019","Male",265166
"E08000019","Female",273219
"E08000032","Male",251629
"E08000032","Female",260763
"E08000033","Male",98553
"E08000033","Female",103525
"E08000034","Male",204120
"E08000034","Female",210665
"E08000035","Male",363689
"E08000035","Female",380196
"E08000036","Male",158950
"E08000036","Female",165517
"E06000015","Male",120396
"E06000015","Female",123584
"E06000016","Male",158336
"E06000016","Female",161372
"E06000017","Male",19057
"E06000017","Female",18360
"E06000018","Male",147892
"E06000018","Female",146916
"E06000061","Male",153938
"E06000061","Female",158258
"E06000062","Male",183289
"E06000062","Female",187979
"E07000032","Male",59819
"E07000032","Female",61713
"E07000033","Male",37038
"E07000033","Female",38186
"E07000034","Male",50493
"E07000034","Female",52544
"E07000035","Male",34953
"E07000035","Female",35752
"E07000036","Male",54435
"E07000036","Female",56848
"E07000037","Male",44802
"E07000037","Female",46245
"E07000038","Male",48367
"E07000038","Female",50107
"E07000039","Male",46227
"E07000039","Female",46788
"E07000129","Male",46213
"E07000129","Female",47298
"E07000130","Male",80794
"E07000130","Female",81536
"E07000131","Male",41761
"E07000131","Female",42371
"E07000132","Male",51534
"E07000132","Female",52939
"E07000133","Male",24260
"E07000133","Female",25221
"E07000134","Male",45945
"E07000134","Female",46783
"E07000135","Male",26611
"E07000135","Female",28989
"E07000136","Male",30819
"E07000136","Female",32580
"E07000137","Male",66881
"E07000137","Female",70259
"E07000138","Male",44445
"E07000138","Female",46368
"E07000139","Male",51930
"E07000139","Female",54526
"E07000140","Male",42384
"E07000140","Female",44603
