"areacd","category","value"
"K02000001","Aged 0 to 15",12596124
"K02000001","Aged 16 to 64",43523647
"K02000001","Aged 65+",13161666
"K03000001","Aged 0 to 15",12211442
"K03000001","Aged 16 to 64",42329668
"K03000001","Aged 65+",12812472
"E06000001","Aged 0 to 15",18544
"E06000001","Aged 16 to 64",59988
"E06000001","Aged 65+",19648
"E06000002","Aged 0 to 15",31762
"E06000002","Aged 16 to 64",98418
"E06000002","Aged 65+",25981
"E06000003","Aged 0 to 15",24191
"E06000003","Aged 16 to 64",81553
"E06000003","Aged 65+",33484
"E06000004","Aged 0 to 15",39649
"E06000004","Aged 16 to 64",126844
"E06000004","Aged 65+",40307
"E06000005","Aged 0 to 15",20040
"E06000005","Aged 16 to 64",68652
"E06000005","Aged 65+",23797
"E06000047","Aged 0 to 15",88221
"E06000047","Aged 16 to 64",332052
"E06000047","Aged 65+",117738
"E06000057","Aged 0 to 15",51894
"E06000057","Aged 16 to 64",191328
"E06000057","Aged 65+",88198
"E08000021","Aged 0 to 15",54603
"E08000021","Aged 16 to 64",218598
"E08000021","Aged 65+",47404
"E08000022","Aged 0 to 15",37332
"E08000022","Aged 16 to 64",132171
"E08000022","Aged 65+",45522
"E08000023","Aged 0 to 15",26991
"E08000023","Aged 16 to 64",91863
"E08000023","Aged 65+",32539
"E08000024","Aged 0 to 15",49906
"E08000024","Aged 16 to 64",178855
"E08000024","Aged 65+",59845
"E08000037","Aged 0 to 15",35592
"E08000037","Aged 16 to 64",125847
"E08000037","Aged 65+",41321
"E06000006","Aged 0 to 15",24353
"E06000006","Aged 16 to 64",81811
"E06000006","Aged 65+",25379
"E06000007","Aged 0 to 15",39473
"E06000007","Aged 16 to 64",133233
"E06000007","Aged 65+",42685
"E06000008","Aged 0 to 15",36892
"E06000008","Aged 16 to 64",102473
"E06000008","Aged 65+",23175
"E06000009","Aged 0 to 15",25618
"E06000009","Aged 16 to 64",88588
"E06000009","Aged 65+",29985
"E06000049","Aged 0 to 15",73497
"E06000049","Aged 16 to 64",252888
"E06000049","Aged 65+",94913
"E06000050","Aged 0 to 15",63122
"E06000050","Aged 16 to 64",228247
"E06000050","Aged 65+",80283
"E06000063","Aged 0 to 15",46292
"E06000063","Aged 16 to 64",166852
"E06000063","Aged 65+",67351
"E06000064","Aged 0 to 15",34073
"E06000064","Aged 16 to 64",134967
"E06000064","Aged 65+",61145
"E07000117","Aged 0 to 15",20351
"E07000117","Aged 16 to 64",61010
"E07000117","Aged 65+",17872
"E07000118","Aged 0 to 15",21258
"E07000118","Aged 16 to 64",74304
"E07000118","Aged 65+",25277
"E07000119","Aged 0 to 15",12442
"E07000119","Aged 16 to 64",48188
"E07000119","Aged 65+",24817
"E07000120","Aged 0 to 15",17257
"E07000120","Aged 16 to 64",53313
"E07000120","Aged 65+",15488
"E07000121","Aged 0 to 15",23437
"E07000121","Aged 16 to 64",91128
"E07000121","Aged 65+",30441
"E07000122","Aged 0 to 15",21214
"E07000122","Aged 16 to 64",60254
"E07000122","Aged 65+",18309
"E07000123","Aged 0 to 15",32341
"E07000123","Aged 16 to 64",107301
"E07000123","Aged 65+",23222
"E07000124","Aged 0 to 15",10552
"E07000124","Aged 16 to 64",38748
"E07000124","Aged 65+",16494
"E07000125","Aged 0 to 15",13702
"E07000125","Aged 16 to 64",45132
