"areacd","value"
"K02000001",69281437
"K03000001",67353582
"E06000001",98180
"E06000002",156161
"E06000003",139228
"E06000004",206800
"E06000005",112489
"E06000047",538011
"E06000057",331420
"E08000021",320605
"E08000022",215025
"E08000023",151393
"E08000024",288606
"E08000037",202760
"E06000006",131543
"E06000007",215391
"E06000008",162540
"E06000009",144191
"E06000049",421298
"E06000050",371652
"E06000063",280495
"E06000064",230185
"E07000117",99233
"E07000118",120839
"E07000119",85447
"E07000120",86058
"E07000121",145006
"E07000122",99777
"E07000123",162864
"E07000124",65794
"E07000125",73045
"E07000126",116113
"E07000127",121995
"E07000128",118743
"E08000001",310085
"E08000002",198921
"E08000003",589670
"E08000004",251560
"E08000005",235561
"E08000006",294348
"E08000007",303929
"E08000008",239643
"E08000009",241025
"E08000010",344922
"E08000011",162565
"E08000012",508961
"E08000013",188861
"E08000014",286281
"E08000015",328873
"E06000010",275401
"E06000011",355884
"E06000012",159911
"E06000013",171336
"E06000014",209301
"E06000065",635270
"E08000016",251770
"E08000017",319765
"E08000018",276595
"E08000019",582493
"E08000032",563605
"E08000033",210929
"E08000034",447847
"E08000035",845189
"E08000036",367666
"E06000015",274149
"E06000016",388348
"E06000017",41443
"E06000018",331077
"E06000061",373871
"E06000062",439811
"E07000032",130451
"E07000033",83773
"E07000034",106045
"E07000035",71757
"E07000036",114253
"E07000037",91959
"E07000038",106646
"E07000039",117493
"E07000129",108165
"E07000130",188385
"E07000131",104713
"E07000132",116682
"E07000133",54052
"E07000134",111881
"E07000135",61695
"E07000136",71080
"E07000137",145183
"E07000138",105114
"E07000139",122468
"E07000140",99298
"E07000141",147151
"E07000142",99208
"E07000170",129572
"E07000171",124937
"E07000172",114565
"E07000173",120179
"E07000174",113138
"E07000175",127886
"E07000176",126736
"E06000019",191047
"E06000020",195952
"E06000021",270425
"E06000051",332455
"E07000192",104088
"E07000193",129659
"E07000194",111932
"E07000195",127727
"E07000196",114423
"E07000197",141556
"E07000198",96651
"E07000199",81117
"E07000218",67117
"E07000219",141565
"E07000220",122378
"E07000221",146258
"E07000222",154889
"E07000234",101685
"E07000235",83227
"E07000236",87847
"E07000237",106671
"E07000238",138017
"E07000239",103913
"E08000025",1183618
"E08000026",369026
"E08000027",331930
"E08000028",353860
"E08000029",221242
"E08000030",295678
"E08000031",281251
"E06000031",223655
"E06000032",239090
"E06000033",185256
"E06000034",180989
"E06000055",194976
"E06000056",315877
"E07000008",149352
"E07000009",92906
"E07000010",104896
"E07000011",190619
"E07000012",172544
"E07000066",193632
"E07000067",164304
"E07000068",79326
"E07000069",90581
"E07000070",188803
"E07000071",200222
"E07000072",137451
"E07000073",98235
"E07000074",69131
"E07000075",89815
"E07000076",156759
"E07000077",95106
"E07000095",101900
"E07000096",161420
"E07000098",110212
"E07000099",137201
"E07000102",95807
"E07000103",107171
"E07000143",146620
"E07000144",138157
"E07000145",100529
"E07000146",156206
"E07000147",103217
"E07000148",147182
"E07000149",148448
"E07000200",97033
"E07000202",140274
"E07000203",110775
"E07000240",151012
"E07000241",122819
"E07000242",156875
"E07000243",91774
"E07000244",249664
"E07000245",188485
"E09000001",15111
"E09000002",232747
"E09000003",405050
"E09000004",256434
"E09000005",352976
"E09000006",335319
"E09000007",216943
"E09000008",409342
"E09000009",385985
"E09000010",327434
"E09000011",299528
"E09000012",266758
"E09000013",188687
"E09000014",263850
"E09000015",270724
"E09000016",276274
"E09000017",329185
"E09000018",299424
"E09000019",223024
"E09000020",144518
"E09000021",172692
"E09000022",316920
"E09000023",301255
"E09000024",218539
"E09000025",374523
"E09000026",321231
"E09000027",196678
"E09000028",314786
"E09000029",214525
"E09000030",331886
"E09000031",279737
"E09000032",337655
"E09000033",209996
"E06000035",292655
"E06000036",130806
"E06000037",165112
"E06000038",182907
"E06000039",167359
"E06000040",158943
"E06000041",187200
"E06000042",305884
"E06000043",283870
"E06000044",214321
"E06000045",259424
"E06000046",141660
"E06000060",578772
"E07000061",104259
"E07000062",91219
"E07000063",102363
"E07000064",96133
"E07000065",166908
"E07000084",193110
"E07000085",129975
"E07000086",142933
"E07000087",115428
"E07000088",82921
"E07000089",103162
"E07000090",126985
"E07000091",176116
"E07000092",105751
"E07000093",135201
"E07000094",135632
"E07000105",140936
"E07000106",162100
"E07000107",125011
"E07000108",119768
"E07000109",110671
"E07000110",187767
"E07000111",122748
"E07000112",112411
"E07000113",158379
"E07000114",142691
"E07000115",136853
"E07000116",119694
"E07000177",170426
"E07000178",166034
"E07000179",156470
"E07000180",149347
"E07000181",120941
"E07000207",141926
"E07000208",83288
"E07000209",151359
"E07000210",88709
"E07000211",159134
"E07000212",92118
"E07000213",107074
"E07000214",94492
"E07000215",90586
"E07000216",134284
"E07000217",105679
"E07000223",64889
"E07000224",170064
"E07000225",128934
"E07000226",124008
"E07000227",151521
"E07000228",161755
"E07000229",113866
"E06000022",200028
"E06000023",494399
"E06000024",224578
"E06000025",306332
"E06000026",272067
"E06000027",140126
"E06000030",243875
"E06000052",583289
"E06000053",2366
"E06000054",523700
"E06000058",408967
"E06000059",389947
"E07000040",158239
"E07000041",138399
"E07000042",84993
"E07000043",101222
"E07000044",92148
"E07000045",138548
"E07000046",69841
"E07000047",58923
"E07000078",121739
"E07000079",91661
"E07000080",89753
"E07000081",138598
"E07000082",125680
"E07000083",101949
"E06000066",588328
"W06000001",69097
"W06000002",120813
"W06000003",114891
"W06000004",98202
"W06000005",155867
"W06000006",138245
"W06000008",72599
"W06000009",125761
"W06000010",190800
"W06000011",251304
"W06000012",143249
"W06000013",147530
"W06000014",135743
"W06000015",383919
"W06000016",242844
"W06000018",176865
"W06000019",67873
"W06000020",94119
"W06000021",94930
"W06000022",167899
"W06000023",135059
"W06000024",58972
"S12000005",52110
"S12000006",145860
"S12000008",121480
"S12000010",115180
"S12000011",99830
"S12000013",26020
"S12000014",160020
"S12000017",237290
"S12000018",78880
"S12000019",99880
"S12000020",95010
"S12000021",134010
"S12000023",22020
"S12000026",116980
"S12000027",23190
"S12000028",112260
"S12000029",334030
"S12000030",94210
"S12000033",231780
"S12000034",265080
"S12000035",87690
"S12000036",530680
"S12000038",189170
"S12000039",89120
"S12000040",186440
"S12000041",114810
"S12000042",149880
"S12000045",109970
"S12000047",374760
"S12000048",154420
"S12000049",650300
"S12000050",344540
"N09000001",148100
"N09000002",222511
"N09000003",352390
"N09000004",141954
