"areacd","category","value"
"K02000001","Male",33930768
"K02000001","Female",35350669
"K03000001","Male",32980978
"K03000001","Female",34372604
"E06000001","Male",47994
"E06000001","Female",50186
"E06000002","Male",77983
"E06000002","Female",78178
"E06000003","Male",67707
"E06000003","Female",71521
"E06000004","Male",102620
"E06000004","Female",104180
"E06000005","Male",55214
"E06000005","Female",57275
"E06000047","Male",262432
"E06000047","Female",275579
"E06000057","Male",162114
"E06000057","Female",169306
"E08000021","Male",158147
"E08000021","Female",162458
"E08000022","Male",104750
"E08000022","Female",110275
"E08000023","Male",74200
"E08000023","Female",77193
"E08000024","Male",140962
"E08000024","Female",147644
"E08000037","Male",100425
"E08000037","Female",102335
"E06000006","Male",64765
"E06000006","Female",66778
"E06000007","Male",106429
"E06000007","Female",108962
"E06000008","Male",81080
"E06000008","Female",81460
"E06000009","Male",71740
"E06000009","Female",72451
"E06000049","Male",206272
"E06000049","Female",215026
"E06000050","Male",181781
"E06000050","Female",189871
"E06000063","Male",137988
"E06000063","Female",142507
"E06000064","Male",113378
"E06000064","Female",116807
"E07000117","Male",49310
"E07000117","Female",49923
"E07000118","Male",60471
"E07000118","Female",60368
"E07000119","Male",41776
"E07000119","Female",43671
"E07000120","Male",42823
"E07000120","Female",43235
"E07000121","Male",71508
"E07000121","Female",73498
"E07000122","Male",49733
"E07000122","Female",50044
"E07000123","Male",81750
"E07000123","Female",81114
"E07000124","Male",32226
"E07000124","Female",33568
"E07000125","Male",35959
"E07000125","Female",37086
"E07000126","Male",56844
"E07000126","Female",59269
"E07000127","Male",58742
"E07000127","Female",63253
"E07000128","Male",57975
"E07000128","Female",60768
"E08000001","Male",153824
"E08000001","Female",156261
"E08000002","Male",98206
"E08000002","Female",100715
"E08000003","Male",294216
"E08000003","Female",295454
"E08000004","Male",123736
"E08000004","Female",127824
"E08000005","Male",116071
"E08000005","Female",119490
"E08000006","Male",147796
"E08000006","Female",146552
"E08000007","Male",148594
"E08000007","Female",155335
"E08000008","Male",117975
"E08000008","Female",121668
"E08000009","Male",117656
"E08000009","Female",123369
"E08000010","Male",171014
"E08000010","Female",173908
"E08000011","Male",77937
"E08000011","Female",84628
"E08000012","Male",248346
"E08000012","Female",260615
"E08000013","Male",93139
"E08000013","Female",95722
"E08000014","Male",139244
"E08000014","Female",147037
"E08000015","Male",159605
"E08000015","Female",169268
"E06000010","Male",138530
"E06000010","Female",136871
"E06000011","Male",174299
"E06000011","Female",181585
"E06000012","Male",78573
"E06000012","Female",81338
"E06000013","Male",84362
"E06000013","Female",86974
"E06000014","Male",99608
"E06000014","Female",109693
"E06000065","Male",311128
"E06000065","Female",324142
"E08000016","Male",123854
"E08000016","Female",127916
"E08000017","Male",159147
"E08000017","Female",160618
"E08000018","Male",136201
"E08000018","Female",140394
"E08000019","Male",287889
"E08000019","Female",294604
"E08000032","Male",276545
"E08000032","Female",287060
"E08000033","Male",103428
"E08000033","Female",107501
"E08000034","Male",220161
"E08000034","Female",227686
"E08000035","Male",411852
"E08000035","Female",433337
"E08000036","Male",181364
"E08000036","Female",186302
"E06000015","Male",136802
"E06000015","Female",137347
"E06000016","Male",194623
"E06000016","Female",193725
"E06000017","Male",21237
"E06000017","Female",20206
"E06000018","Male",161672
"E06000018","Female",169405
"E06000061","Male",184296
"E06000061","Female",189575
"E06000062","Male",217103
"E06000062","Female",222708
"E07000032","Male",63945
"E07000032","Female",66506
"E07000033","Male",41061
"E07000033","Female",42712
"E07000034","Male",52117
"E07000034","Female",53928
"E07000035","Male",35116
"E07000035","Female",36641
"E07000036","Male",56300
"E07000036","Female",57953
"E07000037","Male",45160
"E07000037","Female",46799
"E07000038","Male",51950
"E07000038","Female",54696
"E07000039","Male",57277
"E07000039","Female",60216
"E07000129","Male",54019
"E07000129","Female",54146
"E07000130","Male",93994
"E07000130","Female",94391
"E07000131","Male",51410
"E07000131","Female",53303
"E07000132","Male",57542
"E07000132","Female",59140
"E07000133","Male",26347
"E07000133","Female",27705
"E07000134","Male",55084
"E07000134","Female",56797
"E07000135","Male",30050
"E07000135","Female",31645
"E07000136","Male",35294
"E07000136","Female",35786
"E07000137","Male",70793
"E07000137","Female",74390
"E07000138","Male",51888
"E07000138","Female",53226
"E07000139","Male",60145
"E07000139","Female",62323
"E07000140","Male",48690
"E07000140","Female",50608
"E07000141","Male",71050
"E07000141","Female",76101
"E07000142","Male",48608
"E07000142","Female",50600
"E07000170","Male",63373
"E07000170","Female",66199
"E07000171","Male",61816
"E07000171","Female",63121
"E07000172","Male",56065
"E07000172","Female",58500
"E07000173","Male",58184
"E07000173","Female",61995
"E07000174","Male",55719
"E07000174","Female",57419
"E07000175","Male",62959
"E07000175","Female",64927
"E07000176","Male",61976
"E07000176","Female",64760
"E06000019","Male",93847
"E06000019","Female",97200
"E06000020","Male",96010
"E06000020","Female",99942
"E06000021","Male",135672
"E06000021","Female",134753
"E06000051","Male",163657
"E06000051","Female",168798
"E07000192","Male",51292
"E07000192","Female",52796
"E07000193","Male",64637
"E07000193","Female",65022
"E07000194","Male",55200
"E07000194","Female",56732
"E07000195","Male",62335
"E07000195","Female",65392
"E07000196","Male",57048
"E07000196","Female",57375
"E07000197","Male",69925
"E07000197","Female",71631
"E07000198","Male",47507
"E07000198","Female",49144
"E07000199","Male",39901
"E07000199","Female",41216
"E07000218","Male",32854
"E07000218","Female",34263
"E07000219","Male",69326
"E07000219","Female",72239
"E07000220","Male",60692
"E07000220","Female",61686
"E07000221","Male",70929
"E07000221","Female",75329
"E07000222","Male",77073
"E07000222","Female",77816
"E07000234","Male",49769
"E07000234","Female",51916
"E07000235","Male",40264
"E07000235","Female",42963
"E07000236","Male",43402
"E07000236","Female",44445
"E07000237","Male",51951
"E07000237","Female",54720
"E07000238","Male",67683
"E07000238","Female",70334
"E07000239","Male",50926
"E07000239","Female",52987
"E08000025","Male",584923
"E08000025","Female",598695
"E08000026","Male",184947
"E08000026","Female",184079
"E08000027","Male",163437
"E08000027","Female",168493
"E08000028","Male",175077
"E08000028","Female",178783
"E08000029","Male",107503
"E08000029","Female",113739
"E08000030","Male",145418
"E08000030","Female",150260
"E08000031","Male",139101
"E08000031","Female",142150
"E06000031","Male",110664
"E06000031","Female",112991
"E06000032","Male",122212
"E06000032","Female",116878
"E06000033","Male",90258
"E06000033","Female",94998
"E06000034","Male",88376
"E06000034","Female",92613
"E06000055","Male",95600
"E06000055","Female",99376
"E06000056","Male",155048
"E06000056","Female",160829
"E07000008","Male",74573
"E07000008","Female",74779
"E07000009","Male",45615
"E07000009","Female",47291
"E07000010","Male",51237
"E07000010","Female",53659
"E07000011","Male",94252
"E07000011","Female",96367
"E07000012","Male",84262
"E07000012","Female",88282
"E07000066","Male",94002
"E07000066","Female",99630
"E07000067","Male",80276
"E07000067","Female",84028
"E07000068","Male",38391
"E07000068","Female",40935
"E07000069","Male",43763
"E07000069","Female",46818
"E07000070","Male",92360
"E07000070","Female",96443
"E07000071","Male",98352
"E07000071","Female",101870
"E07000072","Male",66744
"E07000072","Female",70707
"E07000073","Male",47584
"E07000073","Female",50651
"E07000074","Male",33791
"E07000074","Female",35340
"E07000075","Male",43492
"E07000075","Female",46323
"E07000076","Male",75586
"E07000076","Female",81173
"E07000077","Male",46595
"E07000077","Female",48511
"E07000095","Male",49414
"E07000095","Female",52486
"E07000096","Male",79156
"E07000096","Female",82264
"E07000098","Male",52774
"E07000098","Female",57438
"E07000099","Male",66456
"E07000099","Female",70745
"E07000102","Male",46722
"E07000102","Female",49085
"E07000103","Male",52812
"E07000103","Female",54359
"E07000143","Male",72502
"E07000143","Female",74118
"E07000144","Male",67283
"E07000144","Female",70874
"E07000145","Male",48971
"E07000145","Female",51558
"E07000146","Male",76396
"E07000146","Female",79810
"E07000147","Male",50380
"E07000147","Female",52837
"E07000148","Male",73238
"E07000148","Female",73944
"E07000149","Male",72205
"E07000149","Female",76243
"E07000200","Male",47130
"E07000200","Female",49903
"E07000202","Male",69697
"E07000202","Female",70577
"E07000203","Male",54573
"E07000203","Female",56202
"E07000240","Male",73701
"E07000240","Female",77311
"E07000241","Male",60717
"E07000241","Female",62102
"E07000242","Male",76383
"E07000242","Female",80492
"E07000243","Male",45335
"E07000243","Female",46439
"E07000244","Male",121879
"E07000244","Female",127785
"E07000245","Male",93875
"E07000245","Female",94610
"E09000001","Male",8160
"E09000001","Female",6951
"E09000002","Male",114185
"E09000002","Female",118562
"E09000003","Male",196810
"E09000003","Female",208240
"E09000004","Male",123693
"E09000004","Female",132741
"E09000005","Male",172503
"E09000005","Female",180473
"E09000006","Male",160897
"E09000006","Female",174422
"E09000007","Male",101036
"E09000007","Female",115907
"E09000008","Male",197450
"E09000008","Female",211892
"E09000009","Male",190504
"E09000009","Female",195481
"E09000010","Male",156228
"E09000010","Female",171206
"E09000011","Male",146119
"E09000011","Female",153409
"E09000012","Male",127155
"E09000012","Female",139603
"E09000013","Male",87264
"E09000013","Female",101423
"E09000014","Male",126310
"E09000014","Female",137540
"E09000015","Male",134128
"E09000015","Female",136596
"E09000016","Male",134098
"E09000016","Female",142176
"E09000017","Male",164291
"E09000017","Female",164894
"E09000018","Male",149457
"E09000018","Female",149967
"E09000019","Male",105241
"E09000019","Female",117783
"E09000020","Male",67063
"E09000020","Female",77455
"E09000021","Male",82493
"E09000021","Female",90199
"E09000022","Male",153190
"E09000022","Female",163730
"E09000023","Male",142265
"E09000023","Female",158990
"E09000024","Male",106084
"E09000024","Female",112455
"E09000025","Male",188927
"E09000025","Female",185596
"E09000026","Male",160513
"E09000026","Female",160718
"E09000027","Male",94306
"E09000027","Female",102372
"E09000028","Male",151672
"E09000028","Female",163114
"E09000029","Male",104179
"E09000029","Female",110346
"E09000030","Male",166169
"E09000030","Female",165717
"E09000031","Male",136568
"E09000031","Female",143169
"E09000032","Male",159468
"E09000032","Female",178187
"E09000033","Male",101100
"E09000033","Female",108896
"E06000035","Male",143140
"E06000035","Female",149515
"E06000036","Male",64300
"E06000036","Female",66506
"E06000037","Male",81301
"E06000037","Female",83811
"E06000038","Male",91483
"E06000038","Female",91424
"E06000039","Male",83276
"E06000039","Female",84083
"E06000040","Male",78528
"E06000040","Female",80415
"E06000041","Male",92044
"E06000041","Female",95156
"E06000042","Male",150820
"E06000042","Female",155064
"E06000043","Male",138470
"E06000043","Female",145400
"E06000044","Male",107221
"E06000044","Female",107100
"E06000045","Male",128859
"E06000045","Female",130565
"E06000046","Male",68623
"E06000046","Female",73037
"E06000060","Male",282079
"E06000060","Female",296693
"E07000061","Male",50114
"E07000061","Female",54145
"E07000062","Male",44261
"E07000062","Female",46958
"E07000063","Male",49186
"E07000063","Female",53177
"E07000064","Male",45771
"E07000064","Female",50362
"E07000065","Male",80185
"E07000065","Female",86723
"E07000084","Male",95545
"E07000084","Female",97565
"E07000085","Male",63199
"E07000085","Female",66776
"E07000086","Male",69834
"E07000086","Female",73099
"E07000087","Male",56150
"E07000087","Female",59278
"E07000088","Male",40589
"E07000088","Female",42332
"E07000089","Male",50964
"E07000089","Female",52198
"E07000090","Male",61223
"E07000090","Female",65762
"E07000091","Male",84831
"E07000091","Female",91285
"E07000092","Male",53038
"E07000092","Female",52713
"E07000093","Male",66095
"E07000093","Female",69106
"E07000094","Male",65755
"E07000094","Female",69877
"E07000105","Male",68265
"E07000105","Female",72671
"E07000106","Male",77933
"E07000106","Female",84167
"E07000107","Male",60841
"E07000107","Female",64170
"E07000108","Male",58266
"E07000108","Female",61502
"E07000109","Male",54047
"E07000109","Female",56624
"E07000110","Male",92368
"E07000110","Female",95399
"E07000111","Male",59120
"E07000111","Female",63628
"E07000112","Male",54528
"E07000112","Female",57883
"E07000113","Male",78295
"E07000113","Female",80084
"E07000114","Male",68671
"E07000114","Female",74020
"E07000115","Male",66476
"E07000115","Female",70377
"E07000116","Male",58069
"E07000116","Female",61625
"E07000177","Male",84365
"E07000177","Female",86061
"E07000178","Male",81076
"E07000178","Female",84958
"E07000179","Male",76910
"E07000179","Female",79560
"E07000180","Male",73944
"E07000180","Female",75403
"E07000181","Male",59171
"E07000181","Female",61770
"E07000207","Male",68579
"E07000207","Female",73347
"E07000208","Male",40035
"E07000208","Female",43253
"E07000209","Male",74332
"E07000209","Female",77027
"E07000210","Male",43008
"E07000210","Female",45701
"E07000211","Male",77890
"E07000211","Female",81244
"E07000212","Male",44082
"E07000212","Female",48036
"E07000213","Male",52515
"E07000213","Female",54559
"E07000214","Male",46610
"E07000214","Female",47882
"E07000215","Male",43512
"E07000215","Female",47074
"E07000216","Male",64805
"E07000216","Female",69479
"E07000217","Male",52256
"E07000217","Female",53423
"E07000223","Male",31362
"E07000223","Female",33527
"E07000224","Male",81761
"E07000224","Female",88303
"E07000225","Male",61764
"E07000225","Female",67170
"E07000226","Male",61893
"E07000226","Female",62115
"E07000227","Male",74024
"E07000227","Female",77497
"E07000228","Male",78674
"E07000228","Female",83081
"E07000229","Male",55005
"E07000229","Female",58861
"E06000022","Male",97507
"E06000022","Female",102521
"E06000023","Male",245496
"E06000023","Female",248903
"E06000024","Male",109567
"E06000024","Female",115011
"E06000025","Male",151527
"E06000025","Female",154805
"E06000026","Male",133570
"E06000026","Female",138497
"E06000027","Male",68207
"E06000027","Female",71919
"E06000030","Male",121064
"E06000030","Female",122811
"E06000052","Male",282871
"E06000052","Female",300418
"E06000053","Male",1173
"E06000053","Female",1193
"E06000054","Male",258013
"E06000054","Female",265687
"E06000058","Male",199594
"E06000058","Female",209373
"E06000059","Male",188944
"E06000059","Female",201003
"E07000040","Male",76239
"E07000040","Female",82000
"E07000041","Male",67390
"E07000041","Female",71009
"E07000042","Male",41704
"E07000042","Female",43289
"E07000043","Male",49268
"E07000043","Female",51954
"E07000044","Male",44325
"E07000044","Female",47823
"E07000045","Male",67368
"E07000045","Female",71180
"E07000046","Male",34193
"E07000046","Female",35648
"E07000047","Male",28486
"E07000047","Female",30437
"E07000078","Male",59607
"E07000078","Female",62132
"E07000079","Male",44106
"E07000079","Female",47555
"E07000080","Male",43965
"E07000080","Female",45788
"E07000081","Male",68757
"E07000081","Female",69841
"E07000082","Male",61284
"E07000082","Female",64396
"E07000083","Male",49298
"E07000083","Female",52651
"E06000066","Male",287953
"E06000066","Female",300375
"W06000001","Male",33801
"W06000001","Female",35296
"W06000002","Male",59147
"W06000002","Female",61666
"W06000003","Male",55606
"W06000003","Female",59285
"W06000004","Male",47610
"W06000004","Female",50592
"W06000005","Male",76228
"W06000005","Female",79639
"W06000006","Male",68687
"W06000006","Female",69558
"W06000008","Male",35393
"W06000008","Female",37206
"W06000009","Male",61224
"W06000009","Female",64537
"W06000010","Male",93111
"W06000010","Female",97689
"W06000011","Male",124313
"W06000011","Female",126991
"W06000012","Male",70267
"W06000012","Female",72982
"W06000013","Male",72997
"W06000013","Female",74533
"W06000014","Male",65261
"W06000014","Female",70482
"W06000015","Male",188316
"W06000015","Female",195603
"W06000016","Male",119029
"W06000016","Female",123815
"W06000018","Male",86317
"W06000018","Female",90548
"W06000019","Male",33377
"W06000019","Female",34496
"W06000020","Male",45782
"W06000020","Female",48337
"W06000021","Male",46411
"W06000021","Female",48519
"W06000022","Male",83113
"W06000022","Female",84786
"W06000023","Male",66639
"W06000023","Female",68420
"W06000024","Male",28850
"W06000024","Female",30122
"S12000005","Male",25500
"S12000005","Female",26610
"S12000006","Male",70571
"S12000006","Female",75289
"S12000008","Male",58805
"S12000008","Female",62675
"S12000010","Male",55161
"S12000010","Female",60019
"S12000011","Male",47877
"S12000011","Female",51953
"S12000013","Male",12900
"S12000013","Female",13120
"S12000014","Male",77764
"S12000014","Female",82256
"S12000017","Male",116236
"S12000017","Female",121054
"S12000018","Male",38080
"S12000018","Female",40800
"S12000019","Male",48333
"S12000019","Female",51547
"S12000020","Male",46969
"S12000020","Female",48041
"S12000021","Male",64223
"S12000021","Female",69787
"S12000023","Male",10844
"S12000023","Female",11176
"S12000026","Male",56736
"S12000026","Female",60244
"S12000027","Male",11621
"S12000027","Female",11569
"S12000028","Male",53870
"S12000028","Female",58390
"S12000029","Male",161646
"S12000029","Female",172384
"S12000030","Male",45479
"S12000030","Female",48731
"S12000033","Male",113549
"S12000033","Female",118231
"S12000034","Male",130243
"S12000034","Female",134837
"S12000035","Male",43715
"S12000035","Female",43975
"S12000036","Male",255322
"S12000036","Female",275358
"S12000038","Male",91467
"S12000038","Female",97703
"S12000039","Male",42823
"S12000039","Female",46297
"S12000040","Male",91132
"S12000040","Female",95308
"S12000041","Male",55530
"S12000041","Female",59280
"S12000042","Male",73157
"S12000042","Female",76723
"S12000045","Male",52858
"S12000045","Female",57112
"S12000047","Male",181146
"S12000047","Female",193614
"S12000048","Male",75611
"S12000048","Female",78809
"S12000049","Male",318246
"S12000049","Female",332054
"S12000050","Male",167746
"S12000050","Female",176794
"N09000001","Male",72745
"N09000001","Female",75355
"N09000002","Male",110276
"N09000002","Female",112235
"N09000003","Male",172059
"N09000003","Female",180331
"N09000004","Male",69960
"N09000004","Female",71994
"N09000005","Male",74417
"N09000005","Female",77966
"N09000006","Male",58839
"N09000006","Female",58848
"N09000007","Male",74832
"N09000007","Female",76837
"N09000008","Male",68772
"N09000008","Female",71141
"N09000009","Male",76882
"N09000009","Female",75836
"N09000010","Male",90482
"N09000010","Female",92633
"N09000011","Male",80526
"N09000011","Female",84889
