"areacd","value"
"E07000215",86923
"E07000216",125691
"E07000217",104423
"E07000223",64580
"E07000224",163310
"E07000225",122815
"E07000226",117144
"E07000227",142932
"E07000228",150027
"E07000229",110932
"E06000022",190176
"E06000023",469920
"E06000024",215540
"E06000025",284563
"E06000026",265041
"E06000027",138754
"E06000030",231934
"E06000052",563695
"E06000053",2098
"E06000054",502985
"E06000058",400182
"E06000059",377699
"E07000040",147346
"E07000041",126312
"E07000042",81434
"E07000043",97325
"E07000044",86458
"E07000045",133965
"E07000046",67837
"E07000047",55865
"E07000078",119459
"E07000079",89632
"E07000080",86274
"E07000081",131776
"E07000082",118832
"E07000083",92703
"E06000066",564987
"W06000001",68278
"W06000002",117584
"W06000003",114196
"W06000004",94766
"W06000005",154592
"W06000006",135899
"W06000008",70639
"W06000009",121432
"W06000010",186125
"W06000011",238707
"W06000012",141385
"W06000013",144500
"W06000014",129802
"W06000015",357137
"W06000016",237574
"W06000018",176735
"W06000019",67382
"W06000020",91685
"W06000021",91730
"W06000022",156773
"W06000023",131556
"W06000024",59255
"S12000005",51660
"S12000006",146810
"S12000008",120870
"S12000010",108510
"S12000011",95410
"S12000013",26340
"S12000014",159530
"S12000017",234510
"S12000018",79150
"S12000019",93420
"S12000020",94170
"S12000021",134570
"S12000023",21870
"S12000026",116490
"S12000027",22910
"S12000028",112010
"S12000029",323120
"S12000030",92100
"S12000033",222760
"S12000034",261900
"S12000035",87360
"S12000036",508280
"S12000038",181040
"S12000039",89560
"S12000040",179740
"S12000041",115530
"S12000042",148290
"S12000045",108870
"S12000047",370620
"S12000048",149740
"S12000049",612490
"S12000050",341570
"N09000001",145152
"N09000002",217069
"N09000003",345391
"N09000004",142776
"N09000005",151236
"N09000006",116797
"N09000007",147467
"N09000008",139066
"N09000009",149230
"N09000010",181528
"N09000011",162807
