"areacd","value"
"K02000001",66627507
"K03000001",64728988
"E06000001",92401
"E06000002",142134
"E06000003",136699
"E06000004",196860
"E06000005",106532
"E06000047",518562
"E06000057",318027
"E08000021",297087
"E08000022",207294
"E08000023",148368
"E08000024",274277
"E08000037",198435
"E06000006",128456
"E06000007",212245
"E06000008",154066
"E06000009",142407
"E06000049",390556
"E06000050",353362
"E06000063",273009
"E06000064",226162
"E07000117",92949
"E07000118",116762
"E07000119",79852
"E07000120",81954
"E07000121",139795
"E07000122",94896
"E07000123",144624
"E07000124",59903
"E07000125",70884
"E07000126",110477
"E07000127",115744
"E07000128",109544
"E08000001",294888
"E08000002",193763
"E08000003",545947
"E08000004",242077
"E08000005",222042
"E08000006",263611
"E08000007",293172
"E08000008",229952
"E08000009",236121
"E08000010",326386
"E08000011",151793
"E08000012",484687
"E08000013",181541
"E08000014",278908
"E08000015",320732
"E06000010",268749
"E06000011",338944
"E06000012",157957
"E06000013",170283
"E06000014",203877
"E06000065",610660
"E08000016",243558
"E08000017",308438
"E08000018",265991
"E08000019",556399
"E08000032",545966
"E08000033",207729
"E08000034",433259
"E08000035",804640
"E08000036",348201
"E06000015",263014
"E06000016",369776
"E06000017",40175
"E06000018",323160
"E06000061",354848
"E06000062",422168
"E07000032",125791
"E07000033",79178
"E07000034",104154
"E07000035",71190
"E07000036",113711
"E07000037",91170
"E07000038",100371
"E07000039",103315
"E07000129",101777
"E07000130",180988
"E07000131",93661
"E07000132",112688
"E07000133",51470
"E07000134",102461
"E07000135",57772
"E07000136",70226
"E07000137",142039
"E07000138",103604
"E07000139",115821
"E07000140",93467
"E07000141",142212
"E07000142",93894
"E07000170",126521
"E07000171",116485
"E07000172",111257
"E07000173",117129
"E07000174",110237
"E07000175",121624
"E07000176",116647
"E06000019",186373
"E06000020",182081
"E06000021",259181
"E06000051",319729
"E07000192",98983
"E07000193",122052
"E07000194",104179
"E07000195",125075
"E07000196",110478
"E07000197",135286
"E07000198",96366
"E07000199",77698
"E07000218",64383
"E07000219",132953
"E07000220",110998
"E07000221",129816
"E07000222",146005
"E07000234",98339
"E07000235",77872
"E07000236",86307
"E07000237",105137
"E07000238",129003
"E07000239",101592
"E08000025",1150646
"E08000026",343715
"E08000027",322090
"E08000028",340198
"E08000029",216323
"E08000030",284600
"E08000031",263519
"E06000031",213026
"E06000032",223106
"E06000033",182115
"E06000034",174924
"E06000055",180651
"E06000056",284688
"E07000008",143153
"E07000009",87010
"E07000010",102487
"E07000011",176968
"E07000012",159031
"E07000066",187714
"E07000067",153439
"E07000068",77231
"E07000069",89619
"E07000070",179882
"E07000071",190470
"E07000072",134206
"E07000073",91952
"E07000074",64481
"E07000075",85290
"E07000076",145696
"E07000077",89361
"E07000095",98869
"E07000096",154367
"E07000098",107234
"E07000099",133195
"E07000102",93443
"E07000103",102172
"E07000143",139523
"E07000144",129721
"E07000145",100448
"E07000146",153332
"E07000147",102509
"E07000148",143300
"E07000149",138131
"E07000200",90917
"E07000202",140809
"E07000203",100840
"E07000240",148058
"E07000241",119180
"E07000242",147335
"E07000243",89541
"E07000244",245052
"E07000245",179703
"E09000001",8765
"E09000002",218828
"E09000003",390590
"E09000004",246622
"E09000005",347424
"E09000006",331192
"E09000007",217136
"E09000008",390643
"E09000009",367284
"E09000010",335151
"E09000011",288205
"E09000012",265825
"E09000013",188562
"E09000014",273716
"E09000015",262065
"E09000016",261296
"E09000017",305641
"E09000018",289652
"E09000019",221994
"E09000020",146805
"E09000021",169797
"E09000022",329513
"E09000023",305906
"E09000024",217219
"E09000025",349786
"E09000026",311780
"E09000027",198185
"E09000028",312591
"E09000029",208516
"E09000030",305066
"E09000031",281015
"E09000032",334558
"E09000033",208415
"E06000035",279852
"E06000036",121660
"E06000037",160883
"E06000038",174288
"E06000039",157632
"E06000040",153893
"E06000041",171789
"E06000042",281434
"E06000043",279920
"E06000044",210412
"E06000045",249428
"E06000046",141764
"E06000060",545859
"E07000061",102754
"E07000062",91570
"E07000063",100813
"E07000064",92581
"E07000065",157543
"E07000084",181396
"E07000085",122154
"E07000086",132175
"E07000087",114879
"E07000088",83022
"E07000089",97727
"E07000090",124099
"E07000091",177111
"E07000092",99756
"E07000093",127652
"E07000094",124407
"E07000105",130466
"E07000106",157109
"E07000107",113928
"E07000108",115902
"E07000109",107348
"E07000110",171816
"E07000111",119575
"E07000112",109659
"E07000113",149753
"E07000114",140624
"E07000115",131502
"E07000116",115158
"E07000177",156447
"E07000178",160789
"E07000179",144875
"E07000180",135040
"E07000181",111362
"E07000207",137098
"E07000208",80685
"E07000209",142328
"E07000210",86762
"E07000211",149048
"E07000212",86660
"E07000213",102062
"E07000214",90544
