"areacd","category","value"
"K02000001","Male",28108331
"K02000001","Female",29753814
"K03000001","Male",27306385
"K03000001","Female",28912053
"E06000001","Male",44149
"E06000001","Female",46878
"E06000002","Male",70709
"E06000002","Female",74909
"E06000003","Male",69545
"E06000003","Female",73924
"E06000004","Male",86523
"E06000004","Female",90740
"E06000005","Male",47860
"E06000005","Female",51563
"E06000047","Male",243686
"E06000047","Female",257238
"E06000057","Male",149185
"E06000057","Female",157360
"E08000021","Male",135898
"E08000021","Female",145260
"E08000022","Male",91852
"E08000022","Female",100394
"E08000023","Male",75488
"E08000023","Female",80576
"E08000024","Male",143277
"E08000024","Female",152018
"E08000037","Male",96502
"E08000037","Female",103127
"E06000006","Male",59739
"E06000006","Female",63049
"E06000007","Male",91428
"E06000007","Female",94663
"E06000008","Male",68240
"E06000008","Female",71275
"E06000009","Male",71763
"E06000009","Female",78958
"E06000049","Male",168860
"E06000049","Female",177293
"E06000050","Male",154695
"E06000050","Female",163113
"E06000063","Male",131053
"E06000063","Female",137297
"E06000064","Male",106053
"E06000064","Female",112599
"E07000117","Male",43924
"E07000117","Female",46637
"E07000118","Male",48065
"E07000118","Female",49106
"E07000119","Male",34646
"E07000119","Female",38126
"E07000120","Male",38909
"E07000120","Female",40961
"E07000121","Male",64019
"E07000121","Female",69317
"E07000122","Male",42451
"E07000122","Female",44850
"E07000123","Male",63964
"E07000123","Female",66938
"E07000124","Male",25142
"E07000124","Female",26098
"E07000125","Male",32027
"E07000125","Female",33742
"E07000126","Male",50129
"E07000126","Female",52781
"E07000127","Male",52787
"E07000127","Female",56242
"E07000128","Male",48810
"E07000128","Female",54006
"E08000001","Male",127404
"E08000001","Female",134089
"E08000002","Male",87800
"E08000002","Female",92595
"E08000003","Male",207958
"E08000003","Female",217356
"E08000004","Male",106534
"E08000004","Female",112882
"E08000005","Male",99959
"E08000005","Female",105297
"E08000006","Male",111260
"E08000006","Female",116360
"E08000007","Male",139541
"E08000007","Female",148215
"E08000008","Male",106141
"E08000008","Female",112100
"E08000009","Male",104314
"E08000009","Female",110857
"E08000010","Male",149464
"E08000010","Female",155530
"E08000011","Male",73013
"E08000011","Female",79706
"E08000012","Male",224615
"E08000012","Female",243477
"E08000013","Male",87072
"E08000013","Female",92245
"E08000014","Male",137289
"E08000014","Female",153177
"E08000015","Male",155845
"E08000015","Female",173054
"E06000010","Male",130489
"E06000010","Female",135943
"E06000011","Male",147021
"E06000011","Female",155327
"E06000012","Male",78609
"E06000012","Female",82769
"E06000013","Male",75116
"E06000013","Female",77737
"E06000014","Male",83006
"E06000014","Female",89667
"E06000065","Male",264613
"E06000065","Female",283140
"E08000016","Male",108117
"E08000016","Female",113657
"E08000017","Male",142410
"E08000017","Female",148076
"E08000018","Male",123634
"E08000018","Female",129312
"E08000019","Male",252308
"E08000019","Female",266324
"E08000032","Male",228409
"E08000032","Female",242929
"E08000033","Male",92810
"E08000033","Female",99483
"E08000034","Male",185721
"E08000034","Female",196962
"E08000035","Male",345044
"E08000035","Female",367859
"E08000036","Male",153104
"E08000036","Female",160491
"E06000015","Male",110841
"E06000015","Female",115707
"E06000016","Male",140824
"E06000016","Female",148680
"E06000017","Male",16069
"E06000017","Female",16140
"E06000018","Male",136626
"E06000018","Female",140589
"E06000061","Male",132516
"E06000061","Female",137061
"E06000062","Male",159164
"E06000062","Female",164585
"E07000032","Male",55661
"E07000032","Female",57381
"E07000033","Male",34522
"E07000033","Female",35790
"E07000034","Male",48845
"E07000034","Female",51438
"E07000035","Male",33410
"E07000035","Female",34543
"E07000036","Male",52421
"E07000036","Female",54350
"E07000037","Male",42412
"E07000037","Female",44123
"E07000038","Male",48303
"E07000038","Female",49769
"E07000039","Male",36916
"E07000039","Female",37519
"E07000129","Male",42255
"E07000129","Female",43036
"E07000130","Male",74704
"E07000130","Female",75944
"E07000131","Male",34612
"E07000131","Female",35352
"E07000132","Male",48219
"E07000132","Female",49750
"E07000133","Male",22854
"E07000133","Female",23482
"E07000134","Male",40832
"E07000134","Female",41509
"E07000135","Male",25991
"E07000135","Female",27579
"E07000136","Male",26422
"E07000136","Female",27746
"E07000137","Male",59358
"E07000137","Female",62107
"E07000138","Male",41031
"E07000138","Female",43552
"E07000139","Male",39860
"E07000139","Female",42033
"E07000140","Male",34404
"E07000140","Female",35878
"E07000141","Male",56136
"E07000141","Female",59032
"E07000142","Male",38333
"E07000142","Female",39621
"E07000170","Male",53648
"E07000170","Female",55978
"E07000171","Male",51809
"E07000171","Female",53092
"E07000172","Male",54823
"E07000172","Female",56303
"E07000173","Male",54379
"E07000173","Female",57240
"E07000174","Male",49744
"E07000174","Female",51696
"E07000175","Male",50544
"E07000175","Female",53033
"E07000176","Male",49775
