"areacd","category","value"
"K02000001","Male",31722524
"K02000001","Female",32896169
"K03000001","Male",30818937
"K03000001","Female",31956570
"E06000001","Male",45066
"E06000001","Female",47292
"E06000002","Male",68171
"E06000002","Female",70859
"E06000003","Male",65668
"E06000003","Female",69438
"E06000004","Male",95881
"E06000004","Female",99232
"E06000005","Male",51534
"E06000005","Female",54291
"E06000047","Male",251719
"E06000047","Female",261885
"E06000057","Male",154150
"E06000057","Female",161124
"E08000021","Male",143160
"E08000021","Female",143716
"E08000022","Male",98290
"E08000022","Female",104921
"E08000023","Male",71316
"E08000023","Female",76290
"E08000024","Male",134371
"E08000024","Female",141380
"E08000037","Male",98549
"E08000037","Female",102179
"E06000006","Male",61747
"E06000006","Female",64588
"E06000007","Male",103201
"E06000007","Female",104855
"E06000008","Male",74684
"E06000008","Female",74895
"E06000009","Male",69844
"E06000009","Female",72409
"E06000049","Male",184742
"E06000049","Female",191832
"E06000050","Male",164212
"E06000050","Female",172225
"E06000063","Male",135032
"E06000063","Female",139107
"E06000064","Male",110483
"E06000064","Female",113681
"E07000117","Male",43760
"E07000117","Female",45026
"E07000118","Male",55632
"E07000118","Female",55542
"E07000119","Male",37589
"E07000119","Female",39318
"E07000120","Male",39906
"E07000120","Female",40801
"E07000121","Male",67597
"E07000121","Female",70872
"E07000122","Male",44762
"E07000122","Female",46041
"E07000123","Male",69918
"E07000123","Female",70240
"E07000124","Male",28405
"E07000124","Female",29506
"E07000125","Male",33732
"E07000125","Female",35199
"E07000126","Male",53718
"E07000126","Female",55639
"E07000127","Male",54800
"E07000127","Female",57744
"E07000128","Male",52449
"E07000128","Female",55316
"E08000001","Male",139799
"E08000001","Female",143413
"E08000002","Male",92100
"E08000002","Female",96306
"E08000003","Male",258145
"E08000003","Female",257215
"E08000004","Male",112575
"E08000004","Female",117773
"E08000005","Male",104785
"E08000005","Female",108677
"E08000006","Male",121690
"E08000006","Female",120912
"E08000007","Male",139774
"E08000007","Female",146493
"E08000008","Male",109108
"E08000008","Female",113256
"E08000009","Male",113577
"E08000009","Female",118222
"E08000010","Male",158938
"E08000010","Female",161137
"E08000011","Male",69875
"E08000011","Female",76687
"E08000012","Male",229159
"E08000012","Female",236586
"E08000013","Male",87223
"E08000013","Female",90562
"E08000014","Male",132326
"E08000014","Female",142817
"E08000015","Male",154962
"E08000015","Female",165955
"E06000010","Male",130852
"E06000010","Female",130044
"E06000011","Male",164532
"E06000011","Female",171093
"E06000012","Male",78189
"E06000012","Female",81231
"E06000013","Male",83384
"E06000013","Female",85432
"E06000014","Male",98213
"E06000014","Female",103993
"E06000065","Male",297041
"E06000065","Female",306631
"E08000016","Male",116400
"E08000016","Female",120021
"E08000017","Male",150298
"E08000017","Female",153375
"E08000018","Male",128161
"E08000018","Female",133230
"E08000019","Male",274343
"E08000019","Female",280462
"E08000032","Male",261191
"E08000032","Female",270604
"E08000033","Male",101004
"E08000033","Female",105610
"E08000034","Male",211504
"E08000034","Female",217532
"E08000035","Male",377962
"E08000035","Female",392472
"E08000036","Male",163034
"E08000036","Female",168590
"E06000015","Male",126349
"E06000015","Female",128971
"E06000016","Male",168849
"E06000016","Female",174068
"E06000017","Male",19715
"E06000017","Female",18579
"E06000018","Male",155728
"E06000018","Female",154611
"E06000061","Male",162434
"E06000061","Female",168215
"E06000062","Male",193216
"E06000062","Female",197808
"E07000032","Male",60451
"E07000032","Female",62567
"E07000033","Male",37982
"E07000033","Female",39092
"E07000034","Male",51194
"E07000034","Female",53091
"E07000035","Male",35045
"E07000035","Female",36109
"E07000036","Male",55722
"E07000036","Female",57917
"E07000037","Male",44635
"E07000037","Female",46225
"E07000038","Male",48543
"E07000038","Female",50540
"E07000039","Male",47981
"E07000039","Female",49232
"E07000129","Male",47186
"E07000129","Female",48778
"E07000130","Male",85729
"E07000130","Female",85217
"E07000131","Male",43711
"E07000131","Female",44280
"E07000132","Male",53081
"E07000132","Female",54387
"E07000133","Male",25028
"E07000133","Female",25962
"E07000134","Male",47144
"E07000134","Female",48126
"E07000135","Male",27595
"E07000135","Female",29188
"E07000136","Male",32835
"E07000136","Female",34307
"E07000137","Male",67033
"E07000137","Female",70309
"E07000138","Male",48304
"E07000138","Female",50178
"E07000139","Male",54156
"E07000139","Female",56590
"E07000140","Male",43901
"E07000140","Female",46013
"E07000141","Male",66915
"E07000141","Female",71167
"E07000142","Male",44644
"E07000142","Female",46629
"E07000170","Male",59896
"E07000170","Female",62303
"E07000171","Male",56626
"E07000171","Female",57400
"E07000172","Male",54484
"E07000172","Female",56043
"E07000173","Male",56493
"E07000173","Female",59347
"E07000174","Male",52376
"E07000174","Female",54138
"E07000175","Male",57972
"E07000175","Female",59666
"E07000176","Male",55369
"E07000176","Female",57254
"E06000019","Male",91512
"E06000019","Female",94011
"E06000020","Male",84434
"E06000020","Female",86176
"E06000021","Male",126079
"E06000021","Female",127237
"E06000051","Male",153262
"E06000051","Female",156174
"E07000192","Male",48348
"E07000192","Female",49355
"E07000193","Male",58068
"E07000193","Female",58744
"E07000194","Male",50403
"E07000194","Female",51507
"E07000195","Male",61221
"E07000195","Female",62941
"E07000196","Male",54918
"E07000196","Female",54968
"E07000197","Male",65807
"E07000197","Female",65505
"E07000198","Male",47977
"E07000198","Female",49258
"E07000199","Male",38013
"E07000199","Female",39358
"E07000218","Male",30727
"E07000218","Female",31565
"E07000219","Male",62725
"E07000219","Female",65255
"E07000220","Male",52284
"E07000220","Female",52450
"E07000221","Male",59454
"E07000221","Female",62688
"E07000222","Male",70243
"E07000222","Female",70063
"E07000234","Male",47141
"E07000234","Female",48239
"E07000235","Male",37164
"E07000235","Female",39044
"E07000236","Male",42338
"E07000236","Female",42928
"E07000237","Male",50415
"E07000237","Female",51852
"E07000238","Male",59115
"E07000238","Female",61055
"E07000239","Male",49024
"E07000239","Female",50417
"E08000025","Male",542746
"E08000025","Female",560978
"E08000026","Male",162322
"E08000026","Female",162744
"E08000027","Male",155245
"E08000027","Female",160455
"E08000028","Male",158348
"E08000028","Female",163262
"E08000029","Male",102617
"E08000029","Female",108588
"E08000030","Male",134330
"E08000030","Female",139434
"E08000031","Male",125619
"E08000031","Female",128732
"E06000031","Male",96814
"E06000031","Female",98952
"E06000032","Male",107218
"E06000032","Female",106531
"E06000033","Male",87396
"E06000033","Female",91214
"E06000034","Male",80978
"E06000034","Female",83473
"E06000055","Male",82150
"E06000055","Female",84706
"E06000056","Male",132318
"E06000056","Female",134748
"E07000008","Male",66637
"E07000008","Female",63795
"E07000009","Male",42663
"E07000009","Female",43653
"E07000010","Male",48496
"E07000010","Female",50075
"E07000011","Male",86612
"E07000011","Female",87671
"E07000012","Male",75540
"E07000012","Female",77883
"E07000066","Male",88150
"E07000066","Female",93167
"E07000067","Male",73793
"E07000067","Female",76521
"E07000068","Male",36999
"E07000068","Female",39194
"E07000069","Male",43119
"E07000069","Female",45535
"E07000070","Male",84762
"E07000070","Female",87366
"E07000071","Male",88963
"E07000071","Female",91451
"E07000072","Male",62968
"E07000072","Female",67072
"E07000073","Male",42012
"E07000073","Female",44519
"E07000074","Male",31034
"E07000074","Female",31773
"E07000075","Male",41045
"E07000075","Female",43066
"E07000076","Male",67458
"E07000076","Female",72817
"E07000077","Male",41319
"E07000077","Female",42413
"E07000095","Male",46904
"E07000095","Female",49872
"E07000096","Male",73391
"E07000096","Female",75989
"E07000098","Male",50037
"E07000098","Female",53504
"E07000099","Male",64166
"E07000099","Female",66896
"E07000102","Male",44123
"E07000102","Female",46600
"E07000103","Male",48334
"E07000103","Female",49767
"E07000143","Male",66743
"E07000143","Female",67461
"E07000144","Male",61193
"E07000144","Female",64112
"E07000145","Male",48423
"E07000145","Female",50097
"E07000146","Male",73715
"E07000146","Female",77027
"E07000147","Male",49673
"E07000147","Female",52339
"E07000148","Male",67998
"E07000148","Female",69633
"E07000149","Male",62735
"E07000149","Female",65837
"E07000200","Male",43412
"E07000200","Female",45587
"E07000202","Male",68816
"E07000202","Female",69292
"E07000203","Male",48697
"E07000203","Female",49707
"E07000240","Male",71447
"E07000240","Female",74491
"E07000241","Male",54965
"E07000241","Female",57201
"E07000242","Male",69607
"E07000242","Female",72308
"E07000243","Male",42699
"E07000243","Female",44020
"E07000244","Male",116796
"E07000244","Female",123133
"E07000245","Male",87729
"E07000245","Female",87006
"E09000001","Male",4217
"E09000001","Female",3350
"E09000002","Male",97654
"E09000002","Female",103590
"E09000003","Male",181766
"E09000003","Female",192087
"E09000004","Male",115114
"E09000004","Female",123998
"E09000005","Male",164795
"E09000005","Female",165186
"E09000006","Male",154584
"E09000006","Female",167216
"E09000007","Male",108166
"E09000007","Female",112929
"E09000008","Male",182882
"E09000008","Female",195362
"E09000009","Male",176531
"E09000009","Female",178129
"E09000010","Male",157193
"E09000010","Female",169147
"E09000011","Male",132432
"E09000011","Female",135873
"E09000012","Male",126770
"E09000012","Female",131965
"E09000013","Male",90385
"E09000013","Female",96274
"E09000014","Male",132394
"E09000014","Female",136507
"E09000015","Male",123886
"E09000015","Female",127732
"E09000016","Male",118750
"E09000016","Female",128021
"E09000017","Male",143590
"E09000017","Female",146635
"E09000018","Male",135270
"E09000018","Female",135503
"E09000019","Male",105325
"E09000019","Female",109661
"E09000020","Male",75953
"E09000020","Female",80225
"E09000021","Male",80466
"E09000021","Female",85325
"E09000022","Male",157335
"E09000022","Female",160861
"E09000023","Male",140994
"E09000023","Female",150092
"E09000024","Male",103489
"E09000024","Female",107536
"E09000025","Male",164320
"E09000025","Female",158664
"E09000026","Male",145826
"E09000026","Female",150011
"E09000027","Male",94248
"E09000027","Female",100244
"E09000028","Male",147110
"E09000028","Female",152575
"E09000029","Male",96812
"E09000029","Female",102332
"E09000030","Male",140907
"E09000030","Female",136153
"E09000031","Male",134158
"E09000031","Female",136448
"E09000032","Male",152833
"E09000032","Female",167065
"E09000033","Male",108284
"E09000033","Female",106057
"E06000035","Male",135403
"E06000035","Female",138574
"E06000036","Male",58536
"E06000036","Female",59443
"E06000037","Male",78351
"E06000037","Female",79312
"E06000038","Male",83054
"E06000038","Female",83246
"E06000039","Male",73225
"E06000039","Female",74088
"E06000040","Male",73414
"E06000040","Female",75522
"E06000041","Male",78768
"E06000041","Female",80808
"E06000042","Male",130937
"E06000042","Female",134011
"E06000043","Male",137311
"E06000043","Female",138688
"E06000044","Male",103495
"E06000044","Female",102705
"E06000045","Male",122009
"E06000045","Female",119221
"E06000046","Male",67619
"E06000046","Female",71280
"E06000060","Male",256319
"E06000060","Female",267294
"E07000061","Male",48502
"E07000061","Female",52826
"E07000062","Male",44566
"E07000062","Female",46790
"E07000063","Male",48301
"E07000063","Female",51306
"E07000064","Male",43415
"E07000064","Female",47854
"E07000065","Male",74253
"E07000065","Female",79764
"E07000084","Male",86849
"E07000084","Female",88295
"E07000085","Male",57506
"E07000085","Female",60509
"E07000086","Male",62811
"E07000086","Female",65444
"E07000087","Male",56006
"E07000087","Female",58150
"E07000088","Male",41273
"E07000088","Female",42296
"E07000089","Male",46666
"E07000089","Female",47275
