"areacd","category","value"
"K02000001","Aged 0 to 15",12415996
"K02000001","Aged 16 to 64",41952870
"K02000001","Aged 65+",12258641
"K03000001","Aged 0 to 15",12024340
"K03000001","Aged 16 to 64",40762953
"K03000001","Aged 65+",11941695
"E06000001","Aged 0 to 15",17856
"E06000001","Aged 16 to 64",56587
"E06000001","Aged 65+",17958
"E06000002","Aged 0 to 15",29828
"E06000002","Aged 16 to 64",88648
"E06000002","Aged 65+",23658
"E06000003","Aged 0 to 15",24584
"E06000003","Aged 16 to 64",80965
"E06000003","Aged 65+",31150
"E06000004","Aged 0 to 15",38961
"E06000004","Aged 16 to 64",121604
"E06000004","Aged 65+",36295
"E06000005","Aged 0 to 15",19839
"E06000005","Aged 16 to 64",65015
"E06000005","Aged 65+",21678
"E06000047","Aged 0 to 15",88662
"E06000047","Aged 16 to 64",320342
"E06000047","Aged 65+",109558
"E06000057","Aged 0 to 15",51954
"E06000057","Aged 16 to 64",187062
"E06000057","Aged 65+",79011
"E08000021","Aged 0 to 15",51592
"E08000021","Aged 16 to 64",201630
"E08000021","Aged 65+",43865
"E08000022","Aged 0 to 15",37531
"E08000022","Aged 16 to 64",127799
"E08000022","Aged 65+",41964
"E08000023","Aged 0 to 15",26529
"E08000023","Aged 16 to 64",91392
"E08000023","Aged 65+",30447
"E08000024","Aged 0 to 15",48515
"E08000024","Aged 16 to 64",170430
"E08000024","Aged 65+",55332
"E08000037","Aged 0 to 15",34690
"E08000037","Aged 16 to 64",124264
"E08000037","Aged 65+",39481
"E06000006","Aged 0 to 15",25011
"E06000006","Aged 16 to 64",80021
"E06000006","Aged 65+",23424
"E06000007","Aged 0 to 15",39012
"E06000007","Aged 16 to 64",133708
"E06000007","Aged 65+",39525
"E06000008","Aged 0 to 15",35594
"E06000008","Aged 16 to 64",96292
"E06000008","Aged 65+",22180
"E06000009","Aged 0 to 15",25660
"E06000009","Aged 16 to 64",87786
"E06000009","Aged 65+",28961
"E06000049","Aged 0 to 15",68521
"E06000049","Aged 16 to 64",234553
"E06000049","Aged 65+",87482
"E06000050","Aged 0 to 15",61555
"E06000050","Aged 16 to 64",217677
"E06000050","Aged 65+",74130
"E06000063","Aged 0 to 15",45771
"E06000063","Aged 16 to 64",164865
"E06000063","Aged 65+",62373
"E06000064","Aged 0 to 15",34840
"E06000064","Aged 16 to 64",133479
"E06000064","Aged 65+",57843
"E07000117","Aged 0 to 15",19215
"E07000117","Aged 16 to 64",57001
"E07000117","Aged 65+",16733
"E07000118","Aged 0 to 15",21298
"E07000118","Aged 16 to 64",71843
"E07000118","Aged 65+",23621
"E07000119","Aged 0 to 15",11989
"E07000119","Aged 16 to 64",45619
"E07000119","Aged 65+",22244
"E07000120","Aged 0 to 15",16882
"E07000120","Aged 16 to 64",50135
"E07000120","Aged 65+",14937
"E07000121","Aged 0 to 15",23081
"E07000121","Aged 16 to 64",87763
"E07000121","Aged 65+",28951
"E07000122","Aged 0 to 15",20467
"E07000122","Aged 16 to 64",57374
"E07000122","Aged 65+",17055
"E07000123","Aged 0 to 15",28812
"E07000123","Aged 16 to 64",94433
"E07000123","Aged 65+",21379
"E07000124","Aged 0 to 15",9887
"E07000124","Aged 16 to 64",35609
"E07000124","Aged 65+",14407
"E07000125","Aged 0 to 15",13721
"E07000125","Aged 16 to 64",43729
"E07000125","Aged 65+",13434
"E07000126","Aged 0 to 15",19749
"E07000126","Aged 16 to 64",67074
